,A,AraC,MhpR
R2,,0.03693052336649538,0.0192625336221528
xmin,,-4.6668666265,-6.1234170545
xmid,,-0.8653971855917567,
xmax,,4.762110206,5.4161626079000005
ystart,,0.20402445882504866,-0.24189277916956076
yend,,2.5697110588468255,1.5118610871471332
aat__00m_00s__1,0.1240771865,0.026998537700000002,-0.013717726900000001
aat__00m_30s__1,-0.5789818755,-0.3411537803,-0.5212269352000001
aat__01m_00s__1,0.1020350287,-0.3241906275,0.7631301369
aat__02m_00s__1,0.0209740969,-0.143134606,2.5473754169
aat__05m_00s__1,0.4911054695,-0.4932950159,3.6230565981
aat__10m_00s__1,0.5262372276,-0.5700525116,3.9387050471
aat__00m_00s__2,0.3254283532,0.2691444469,-0.2131327054
aat__00m_30s__2,-0.1814627891,0.2873905357,0.7276704596
aat__01m_00s__2,0.5825824015000001,-0.1111919338,1.6983062946
aat__02m_00s__2,0.3155271826,-0.0394261691,3.3648674001
aat__05m_00s__2,1.0640635611,-0.2046928727,3.9720000161
aat__10m_00s__2,1.6557187714000001,-0.27444440740000003,4.1879171896
aat__00m_00s__3,-0.4495055397,-0.2961429846,0.22685043230000002
aat__00m_30s__3,0.1851061973,0.1887521684,-0.0495180604
aat__01m_00s__3,-0.027616811800000002,-0.2822892852,0.3156145051
aat__02m_00s__3,0.7566324407,-0.0215160914,2.6876318847
aat__05m_00s__3,1.0535501389,0.0531386311,3.7703591695
aat__10m_00s__3,1.9395389673999999,-0.12433065680000001,4.2217401035
abx_mega__dmso-2__1,0.2746742319,0.032182456400000004,0.3515252484
abx_mega__ery_dmso__1,1.2986055416,-2.6585590459,1.4847158252
abx_mega__nal_naoh__1,-0.7994858966,-0.2666061319,1.7681253112
abx_mega__dmso-5__1,0.15531782560000001,-0.0882097795,0.36796041430000004
abx_mega__rif_dmso__1,1.8044240463999999,-0.6917582216,1.2751891626
abx_mega__novo_h2o__1,-0.456216544,-2.9216950308,-0.3045833404
abx_mega__rach_dmso__1,0.42981288240000004,-0.3576462791,-1.7136188795
abx_mega__metro_dmso__1,0.17326629470000002,-0.16727251340000002,0.43104358610000004
abx_mega__dmso-6__1,-0.4054025332,0.1816250473,0.0987559063
abx_mega__chl_h2o__1,-0.4351675575,-3.275417279,1.2127374486
abx_mega__cst_h2o__1,0.6747679822,0.1000935409,-0.7181745994000001
abx_mega__tec_h2o__1,0.4142747057,-1.3078024745,1.6718542051
abx_mega__str_h2o__1,-0.2050083372,-0.3226737819,0.7518846556000001
abx_mega__ctx_h2o__1,0.050026371800000004,0.18911454760000002,-0.5818185578
abx_mega__nal_naoh__2,-0.507537044,-0.4330909706,-0.3607859175
abx_mega__phos_h2o__1,-0.0355583681,-0.3914232164,-2.2378324745000002
abx_mega__dmso-5__2,0.5048606517,-0.1399194336,0.7226518486
abx_mega__polmyx_h2o__1,0.1484131189,0.10152517450000001,-1.0632216128
abx_mega__h2o-8b__1,0.2792022725,0.15033211770000002,-0.2981620374
abx_mega__h2o-6__1,-0.750522754,-0.1803274704,-0.38297317010000004
abx_mega__thio_dmso__1,-1.1764990998,-1.8288081905,-0.472571777
abx_mega__phos_h2o__2,0.02363339,0.22855144970000002,-0.9496838908
abx_mega__ctx_h2o__2,-0.1613543626,-0.8022401761,-1.5849498689
abx_mega__lzd_dmso__1,-0.2670894091,-2.2805752247,0.34067626900000003
abx_mega__naoh-9__1,-0.2834976027,0.0202982129,-0.3145504529
abx_mega__dox_dmso__1,-1.6214387485000001,-1.2008053293,-0.9443945542000001
abx_mega__phos_ethanol__1,-1.4595224656,-0.3571818625,-0.9000776992
abx_mega__teix_dmso__1,0.0673325583,-0.6501751828,0.3883243562
abx_mega__dmso-10__1,-1.0301468109,0.1508435405,-0.23900065980000001
abx_mega__van_dmso__1,-0.22650200280000002,-1.5397913056,0.5118054496000001
abx_mega__ramo_h2o__1,0.5564570651,-0.5370711389,0.6173013569
abx_mega__tec_h2o__2,0.5974883903,-1.1000234965,0.5660872727
abx_mega__h2o-7__1,-0.5507611757,-0.3664867195,-1.383235805
abx_mega__cro_h2o__1,-0.4579782318,-0.3481043541,-1.0834431633
abx_mega__tric_ethanol__1,2.6717914238000002,-0.1581575465,1.3088308692
abx_mega__nor_naoh__1,-0.2280806005,0.015530728,0.12574391440000002
abx_mega__teix_dmso__2,0.8322593127,-0.2186165052,0.0952897155
abx_mega__nal_naoh__3,-0.8830746828,-0.3915765101,-0.4453517645
abx_mega__novo_h2o__2,-0.9571719371,-2.917187332,0.2566879801
abx_mega__dmso-10__2,-0.7564638767,0.0594550374,0.0166402416
abx_mega__phos_h2o__3,-0.025652609200000002,-0.033249097400000004,-0.34764054720000004
abx_mega__dmso-6__2,0.8718792633,0.1335443193,0.3750842579
abx_mega__rfp_ethanol__1,-0.048203674700000004,-1.7349634304000001,2.3822308111
abx_mega__dmso-5__3,-0.7161955015,-0.1561905784,0.2429284885
abx_mega__amyc-d_dmso__1,0.4645461946,-1.5182521046000002,1.5828356619
abx_mega__sxt_dmso__1,0.1555873679,-0.6039711865,-0.9941659274
abx_mega__dmso-1__1,0.2812467399,-0.0025322403,-1.4027037426
abx_mega__pen_h2o__1,1.7640742911,-0.0869654738,-0.6978179617
abx_mega__dmso-10__3,-0.2707157656,0.17724194610000002,-0.2990553912
abx_mega__nal_naoh__4,-0.1759575553,-0.2863924637,-0.1896189453
abx_mega__cip_naoh__1,0.2897396076,-0.3026589756,-1.0726836049
abx_mega__pen_h2o__2,0.7129060345,-0.0242572206,0.3114138053
abx_mega__ery_dmso__2,2.1762517827,-2.7023131283,2.1733256851
abx_mega__dmso-2__2,-0.5964724741,0.2007596007,-3.2046596426
