,deoA
Cr_1,-0.0063514711941715565
Cr_2,-0.012606339808097916
Cr_3,-0.02152340858247836
Cr_4,-0.03276103485059513
Cr_5,-0.015103935298209943
Cr_6,-0.030293996908038683
Fe_1,0.1099967477174501
Fe_2,-0.07898604824450868
Fe_3,-0.11502127782337493
Fe_4,-0.2009402444076908
Fe_5,-0.21429034216431486
Fe_6,-0.2142215723838988
Cd_1,0.010850022093982798
Cd_2,0.02276140309761869
Cd_3,0.034079698111045366
Cd_4,0.03995515199336033
Cd_5,0.042004315979015217
Cd_6,0.05026578303847862
Zn_1,-0.013082362235367146
Zn_2,-0.034440562684202015
Zn_3,-0.042171039353225886
Zn_4,-0.04844622205905252
Zn_5,-0.040433102465215684
Zn_6,-0.03049662528535192
Cu_1,-0.002791562778000252
Cu_2,-0.004426017528624569
Cu_3,0.0041516393375349465
Cu_4,0.008640711807482009
Cu_5,0.004202161752776565
Cu_6,0.00771312371709682
Pb_1,-0.035196093036378814
Pb_2,-0.04118456093833475
Pb_3,-0.04003430428684464
Pb_4,-0.020486209752943716
Pb_5,-0.01194055575899178
Pb_6,-0.021042512265315512
