,lgt
Cr_1,0.0028229549666504263
Cr_2,0.006111378291613751
Cr_3,0.009530408888443163
Cr_4,0.0138344067226105
Cr_5,0.016042382935306018
Cr_6,0.01856651389219324
Fe_1,-0.00645381268577997
Fe_2,-0.01000123656389272
Fe_3,-0.006865316377608199
Fe_4,-0.006649092708515221
Fe_5,-0.007343696236034319
Fe_6,-0.006743410967254689
Cd_1,-0.014041250293177944
Cd_2,-0.03084637148215155
Cd_3,-0.04345620966862142
Cd_4,-0.05894233121636161
Cd_5,-0.07434319697679642
Cd_6,-0.08020675225411411
Zn_1,-0.0008715070075147164
Zn_2,-0.0026890282255309784
Zn_3,-0.0008683001766643082
Zn_4,0.0008893481915928748
Zn_5,0.006063452438118113
Zn_6,0.013429196003404769
Cu_1,0.0015773538557669034
Cu_2,0.0065731210450719925
Cu_3,0.014996772644077543
Cu_4,0.024938804667660398
Cu_5,0.035220898627495695
Cu_6,0.04804210924897495
Pb_1,0.004018195838715083
Pb_2,0.011933077160144441
Pb_3,0.020305056486623653
Pb_4,0.027904308166120214
Pb_5,0.03578569038331828
Pb_6,0.04569297736046592
