,A,YgbI
R2,,0.44220646451206636
xmin,,-2.8972589495000007
xmid,,1.1514105689228973
xmax,,3.9044118795
ystart,,1.0084602172524635
yend,,22.305935706246665
control__wt_glc__1,0.0734077807420392,0.0785546324999995
control__wt_glc__2,-0.0734077807420492,-0.07855463250000039
fur__wt_dpd__1,0.0065794543512174,0.027210378499999518
fur__wt_dpd__2,0.2976106683448999,-0.12303221150000088
fur__wt_fe__1,-0.3007373962868183,-0.5645261045000005
fur__wt_fe__2,-0.4047184733015287,-0.9664712925000004
fur__delfur_dpd__1,0.2076041120460123,0.027260162499999296
fur__delfur_dpd__2,0.3728976381875756,-0.06599902450000084
fur__delfur_fe2__1,-0.1314385334759281,-0.4767812315000004
fur__delfur_fe2__2,-0.6112990459354188,-0.3506174585000004
acid__wt_ph5__1,0.4298791377092809,-0.098359169500001
acid__wt_ph5__2,0.3262646204900772,-0.3421549515000004
acid__delgadx_ph5__2,-0.206670481717267,-0.2195487105000007
acid__delgadw_ph5__1,0.3261263277909156,-0.27659277550000105
acid__delgadw_ph5__2,0.0752676861506322,-0.3723729665000004
acid__delgade_ph5__1,0.1047277036720126,0.014659250499999388
acid__delgade_ph5__2,-0.1536994712965037,-0.09601954450000072
oxidative__wt_pq__1,0.8539900617091939,-0.1395426585000008
oxidative__wt_pq__2,0.8423024692924094,-0.21278452050000046
oxidative__deloxyr_pq__1,0.579098923282425,-0.0615201575000004
oxidative__deloxyr_pq__2,0.3144335107322057,-0.2815683495000005
oxidative__delsoxr_pq__1,0.9398857672353104,-0.5097612965000007
oxidative__delsoxr_pq__2,0.9301637903841252,-0.3394123185000009
oxidative__delsoxs_pq__1,0.5095125617720282,-0.02980112150000025
oxidative__delsoxs_pq__2,0.4512856750419188,-0.36294594250000056
nac_ntrc__wt_csn__1,0.4926098164995193,0.2524186344999997
nac_ntrc__wt_csn__2,-0.4238519406097449,0.2520978944999994
nac_ntrc__wt_cytd__1,-0.1708740046169201,-0.4092629535000008
nac_ntrc__wt_cytd__2,-0.4586813845962239,-0.3336312925000007
nac_ntrc__wt_gln__1,0.4445246684611106,-0.0094309705000013
nac_ntrc__wt_gln__2,0.4753094610270551,-0.08377764950000087
nac_ntrc__bw_delnac_csn__1,1.110706012968126,0.6560345074999994
nac_ntrc__bw_delnac_csn__2,0.0906731672894816,0.7540858504999992
nac_ntrc__bw_delnac_cytd__1,0.3800342988873945,0.013918660499999014
nac_ntrc__bw_delnac_cytd__2,-0.2967420452481937,0.0637010474999995
