,A,Cra,Crp
R2,,0.007850935843056184,0.0004021208563518286
xmin,,-7.2746930645,-9.852476477
xmid,,-5.616720637920364,
xmax,,2.4360738119,2.5388323397
ystart,,0.9309838183960304,0.34546130890525617
yend,,-0.8024607153392647,-0.38122801329370404
aat__00m_00s__1,0.5621902651,0.062006051900000005,0.0344951212
aat__00m_30s__1,0.4049452649,-0.1314214465,0.1435731223
aat__01m_00s__1,0.5046401183,0.0314530619,0.2534372822
aat__02m_00s__1,0.3738733695,-0.1295274102,0.283920339
aat__05m_00s__1,-0.5343652459,-0.2247240932,0.3175329239
aat__10m_00s__1,-1.1497728170000001,-0.7116227439,0.17602055360000002
aat__00m_00s__2,-0.3468006678,-0.1377842684,0.005256366
aat__00m_30s__2,0.17825241020000002,-0.0278778495,0.2819816342
aat__01m_00s__2,0.37649784410000003,-0.0861555941,0.2801678667
aat__02m_00s__2,-0.18207303600000002,-0.0825496888,0.4762089513
aat__05m_00s__2,-0.5849044212,-0.0984813253,0.5370175003000001
aat__10m_00s__2,-0.6456582839,-0.48781484950000004,0.5086233319
aat__00m_00s__3,-0.2153895973,0.07577821650000001,-0.039751487200000005
aat__00m_30s__3,0.1216866982,-0.0035574465000000003,0.2905320638
aat__01m_00s__3,0.024531118600000002,-0.16898320120000002,0.1859933018
aat__02m_00s__3,-0.0695979172,-0.3037351676,0.3699621097
aat__05m_00s__3,-0.16329871440000002,-0.012594644700000001,0.5483756585
aat__10m_00s__3,-0.6367129209,-0.2651798535,0.50143841
abx_mega__dmso-2__1,-1.1255264048,0.7869246933,-0.4516798918
abx_mega__ery_dmso__1,-1.4907580496000001,-1.9643924144,-1.8893970692000002
abx_mega__nal_naoh__1,-2.1333370405,0.2616035103,-0.1701238306
abx_mega__dmso-5__1,-0.045101342600000004,0.0813911834,0.1340371706
abx_mega__rif_dmso__1,-0.3271408696,-1.1465008338,-0.8477189713000001
abx_mega__novo_h2o__1,-0.9909650908000001,-3.3721230493,0.1307715067
abx_mega__rach_dmso__1,-0.9856306763,0.11221218470000001,-0.2340068764
abx_mega__metro_dmso__1,-1.1714467905000001,-1.3980611692,-0.33700626310000004
abx_mega__dmso-6__1,-0.3547249024,0.2467512605,-0.2857852433
abx_mega__chl_h2o__1,-2.358826276,-2.6432952439,-2.9247054987
abx_mega__cst_h2o__1,-0.2056450517,0.2581778823,0.0899715865
abx_mega__tec_h2o__1,-4.4810581528,-0.0287932522,-1.6070723407
abx_mega__str_h2o__1,-2.8104189376,0.6316982481,-0.5390842036
abx_mega__ctx_h2o__1,0.0768730127,0.0781090031,-0.0980165268
abx_mega__nal_naoh__2,-0.20507102730000001,-0.4752620474,0.2016373309
abx_mega__phos_h2o__1,-0.7587113717,0.4332073776,-0.2490351859
abx_mega__dmso-5__2,0.0059677373,0.0325016821,0.0411821817
abx_mega__polmyx_h2o__1,-0.09573499490000001,0.3834597617,0.0231238538
abx_mega__h2o-8b__1,-0.824136364,0.5965422085000001,0.0476350313
abx_mega__h2o-6__1,-0.2056361475,0.1308253183,0.24713669740000002
abx_mega__thio_dmso__1,-1.7876178515,-0.8388425719,-1.5465123927
abx_mega__phos_h2o__2,-0.2639715205,0.6751682776,0.2066153554
abx_mega__ctx_h2o__2,0.1311720503,0.9108492799000001,-0.5157335737000001
abx_mega__lzd_dmso__1,-1.3995246221,-1.1208930686,-1.8223907651
abx_mega__naoh-9__1,-0.16926959660000002,0.21406610210000002,0.36042412560000003
abx_mega__dox_dmso__1,-0.7899176952,-0.4068578344,-1.3002511837
abx_mega__phos_ethanol__1,1.0550365003,0.44640647380000004,0.3379205155
abx_mega__teix_dmso__1,-1.5369995495,0.045534809600000004,-0.6834405493
abx_mega__dmso-10__1,0.2755695882,0.6982458443,0.1656640608
abx_mega__van_dmso__1,-0.6747285171,-1.9874404964,-0.9934080376000001
abx_mega__ramo_h2o__1,-0.427962542,-0.38277561260000004,-0.3443110079
abx_mega__tec_h2o__2,-1.2850841025,-0.5035923001,-0.9407234058
abx_mega__h2o-7__1,0.6475142265,1.0192005981,-0.0040549861000000005
abx_mega__cro_h2o__1,0.21011785930000001,0.7719019076,-0.1478341465
abx_mega__tric_ethanol__1,0.9646078437000001,-0.052083887700000005,-0.1558928562
abx_mega__nor_naoh__1,-0.546365671,-0.2371284206,0.2764607147
abx_mega__teix_dmso__2,0.3610133298,-0.0507022806,-0.14661147630000002
abx_mega__nal_naoh__3,-0.5079928505,-0.5041378015,0.2201400917
abx_mega__novo_h2o__2,-0.6295154349000001,-3.2518194953,0.1874058842
abx_mega__dmso-10__2,-0.4728118221,0.5148069151,0.0513472187
abx_mega__phos_h2o__3,0.2369214494,0.2921819518,0.3866879371
abx_mega__dmso-6__2,0.154930474,0.09906589140000001,-0.0602559214
abx_mega__rfp_ethanol__1,-0.44791246170000004,-0.9248653221,-1.4743546362
abx_mega__dmso-5__3,-0.3029637045,0.0783119691,-0.13444608700000002
abx_mega__amyc-d_dmso__1,-0.7851862952,-1.4474649046999999,-1.621907484
abx_mega__sxt_dmso__1,1.1571044521,0.24395055710000002,-0.0376343135
abx_mega__dmso-1__1,0.6954296178,-0.0396580453,-0.0810478849
abx_mega__pen_h2o__1,0.6738614767000001,-0.444195335,0.1296583874
abx_mega__dmso-10__3,0.3070980269,0.6848183492000001,0.2017965224
abx_mega__nal_naoh__4,-1.513410091,-0.2074547953,0.1490464558
abx_mega__cip_naoh__1,-1.5355380159,-0.3665347619,0.2623448043
abx_mega__pen_h2o__2,0.24800024010000002,-0.3004042504,-0.22631582460000002
abx_mega__ery_dmso__2,-0.8571950223,-1.956959367,-1.9945889461
abx_mega__dmso-2__2,-3.0942733901,1.1549827568,-0.303318389
abx_mega__van_dmso__2,-0.2036287732,-1.8424156250000001,-0.9213934478
abx_mega__h2o-1b__1,-0.2772986777,-0.4115024249,-0.5542551321
abx_mega__ery_h2o__1,-2.6133233421,-2.491041828,-2.4371824129
abx_mega__bacit_h2o__1,-0.0235058987,-0.21317231320000002,-0.6975730314
abx_mega__chl_h2o__2,-2.3941731258,-2.3858561979,-2.788252041
abx_mega__str_h2o__2,-4.2492582592,0.5017693683000001,-0.46271994780000003
abx_mega__rfp_ethanol__2,-0.25607840590000003,-0.380546541,-1.0117169578
abx_mega__polmyx_h2o__2,0.8138264594,0.1581059554,-0.1729404675
abx_mega__tric_h2o__1,1.7252895962,1.0830491121999999,0.2138522692
abx_mega__cip_naoh__2,-0.687491555,-0.282687005,0.22403181360000002
abx_mega__novo_h2o__3,-0.46420923550000004,-3.0070167331,-0.09237995040000001
abx_mega__bacit_dmso__1,0.6477070577,-0.5811062264,-0.38942819040000004
abx_mega__gen_h2o__1,-1.5663455224,-0.6505409267000001,-1.1362642293
abx_mega__bacit_dmso__2,0.28940910200000003,-0.38795174190000004,-0.41342659340000004
abx_mega__chl_dmso__1,0.0113006801,-0.8694942068,-1.6036324816
abx_mega__bacit_h2o__2,-0.8204290828,-1.0863040595,-0.5104274184
abx_mega__lvx_dmso__1,-1.2758599026,0.1716691594,-0.1584196907
abx_mega__bacit_h2o__3,-0.9906228831,-0.29180052300000003,-0.6589226995
abx_mega__nor_naoh__2,-0.5946883011,-0.2578289723,0.1764471632
abx_mega__amyc-d_dmso__2,-0.8725036137000001,-1.1029578843,-0.5799739837
abx_mega__polmyx_h2o__3,-4.1586575439,0.5883921036,-0.6950204566
abx_mega__naoh-6__1,0.0888676764,-0.0315979718,0.245553549
abx_mega__cst_h2o__2,-1.0587424056999999,-0.3307579353,-0.24882076420000002
abx_mega__h2o-1b__2,-1.4946981350000001,-0.5558390831000001,-1.0972302127
abx_mega__rfp_h2o__1,-1.0963305011,-1.7615590003000001,-2.0210704043
abx_mega__tet_h2o__1,-1.1094114516,-1.7568379058999999,-1.6584843203
abx_mega__flavo_dmso__1,-0.8542848694,0.1660500036,-0.2397944182
abx_mega__zeocin_h2o__1,0.1178959262,0.48433845670000003,0.1989831632
abx_mega__nor_naoh__3,-0.8730240937,-0.3263923486,0.10670366340000001
abx_mega__rach_dmso__2,0.6433746219,0.46525192070000004,-0.1227589166
abx_mega__thio_dmso__2,-2.6150247951,-2.0357395307,-1.4531793695
abx_mega__amyc-d_dmso__3,-1.2105968583,-1.6318591136,-1.642695013
abx_mega__rif_dmso__2,-1.6967323219,-0.4210968036,-0.659556922
abx_mega__amyc-d_dmso__4,-0.022503616,-0.8271836069,-0.5482364304
abx_mega__teix_dmso__3,-0.0544983672,-0.235260515,-0.1455592358
abx_mega__valin_dmso__1,-1.5429320922,-0.5404264046,-0.6506498564000001
abx_mega__teix_dmso__4,-0.0033951935,-0.1281517943,-0.0665078507
abx_mega__ethanol-10__1,0.8299157892,0.8024695425,0.0163008612
abx_mega__inh_h2o__1,0.9277381883,0.6949377064000001,0.3281616036
abx_mega__rif_dmso__3,-0.0786909182,-1.794658864,-1.3897674496999999
abx_mega__van_dmso__3,0.764746114,-1.8545558817,-0.94657928
abx_mega__doxo_dmso__1,2.4528370909,1.4236078071,-0.11358356480000001
abx_mega__tmp_dmso__1,-0.2637817035,-0.1422608386,0.2090437913
abx_mega__ethanol-10__2,1.7199072751000002,0.8253414572000001,0.156288703
abx_mega__tmp_dmso__2,-0.5488715487,0.015944328900000002,0.1914919696
abx_mega__amyc-d_dmso__5,-0.5911867893,-1.6910187156,-1.6521756011000002
abx_mega__novo_h2o__4,-1.4047993084,-2.0946863412,-0.2527058608
abx_mega__cro_h2o__2,0.4602316288,0.5257695536,-0.30657057660000003
abx_mega__cro_h2o__3,-0.2880643753,0.2565888257,-0.2669976047
abx_mega__gen_h2o__2,-2.9004911076,-0.5893973720000001,-1.0307723459
abx_mega__phos_h2o__4,-3.0897792868,0.9156420854,-0.0309958632
abx_mega__metro_dmso__2,-0.7027336447,-1.1846501745,-0.3804310446
abx_mega__ery_h2o__2,-3.172260859,-2.2733299144,-2.3462003852
abx_mega__sacet_h2o__1,-0.8358889188,-0.3041345535,-0.6041545277
abx_mega__nal_naoh__5,-1.2019534729,-0.6094488481,-0.054980210200000004
abx_mega__bacit_h2o__4,-1.0946584983,-1.0523985637,-0.7076949831
abx_mega__cip_naoh__3,-1.4200585753000001,-0.2124608039,0.1102525246
