,aroL
Cr_1,0.0011832386770443018
Cr_2,0.003068465043382412
Cr_3,0.0015257226582457675
Cr_4,-0.0006167405830746267
Cr_5,-0.007569595030140762
Cr_6,-0.015660525261879273
Fe_1,-0.021491973549801275
Fe_2,-0.05615674507320502
Fe_3,-0.08210751256517773
Fe_4,-0.09047383630640997
Fe_5,-0.08063590893751177
Fe_6,-0.06561297973306719
Cd_1,-0.004517224163744591
Cd_2,-0.0066376122291345215
Cd_3,-0.006950771339673427
Cd_4,-0.004902691800117597
Cd_5,-0.005570491996081797
Cd_6,0.003254419818959777
Zn_1,-0.009680927234508136
Zn_2,-0.005451760110764711
Zn_3,0.02674880018713682
Zn_4,0.08264260037558517
Zn_5,0.1421376472476149
Zn_6,0.19356972014195095
Cu_1,-0.0025927252125933736
Cu_2,0.002378422949246014
Cu_3,0.008391706318809821
Cu_4,0.01217673448189515
Cu_5,0.020545743178812283
Cu_6,0.03314820143646039
Pb_1,0.0025557290793435817
Pb_2,0.007897905371916418
Pb_3,0.01597112191758613
Pb_4,0.024811511888932342
Pb_5,0.03482778185516894
Pb_6,0.046824580658061284
