,PSPTO_3040
SRX1828913,0.308758707
SRX1828914,-0.6681343671000001
SRX1828915,-0.45050892060000003
SRX1828916,-0.869953064
SRX1828917,0.1417502136
SRX1828918,-0.2567055763
SRX3983989,-0.7354710894
SRX3983990,-0.5692569271
SRX3983993,-1.0621798405
SRX3983994,-1.0160640805
SRX3983995,-0.3804838552
SRX3983996,-0.8090319451
SRX3983997,-1.097032536
SRX3983998,-0.0501691925
SRX3983999,-0.6606427499
SRX3984000,-0.42853920900000003
SRX3984001,-1.5225380943
SRX3984002,-1.2069181691
SRX3984003,-0.9256027128000001
SRX3984004,0.0031712190000000003
SRX3984005,-0.1143478119
SRX3984006,-1.0863044102
SRX3984007,-0.8620673959
SRX3984008,-0.44315967700000003
SRX3984009,0.0857186543
SRX3984010,-1.5383607921
SRX3984011,0.049856618500000005
SRX3984012,-0.2886637213
SRX3984013,0.21782016110000002
SRX3984014,-0.1547125184
SRX3984015,-0.6099720374000001
SRX3984016,-0.5944326816000001
SRX3984017,-1.5890477011000002
SRX3984019,-0.226996091
SRX3984020,-1.5285776106
SRX3984021,-1.5302441288000002
SRX3984022,-1.2379637069
SRX3984023,0.038528111000000004
SRX3984024,-0.1653231545
SRX3984025,-0.34465850940000003
SRX3984026,-0.43230864550000003
SRX3984027,-0.4091924894
SRX3984028,-0.36145581660000003
SRX3984029,-0.2790614851
SRX3984031,-1.4507902581
SRX3984032,-1.3980655642
SRX3984034,-0.1546298925
SRX3984035,-1.5794675998
SRX3984036,-1.1321898416
SRX3984037,-0.3331459144
SRX3984038,-2.3496628576
SRX3984039,-1.3593214154
SRX3984040,-0.5548707144
SRX3984041,-1.7995212284000002
SRX3984042,-1.2720258184
SRX3984043,-1.2044353396
SRX3984045,-0.24717581930000002
SRX3984046,-0.1545629264
SRX3984047,-1.2354316181
SRX3984048,-1.0483096355
SRX3984049,-0.8694297911000001
SRX3984050,-0.8522638574
SRX3984051,-1.4195791536
SRX3984052,-0.5478047357
SRX3984056,-1.2523828409
SRX3984057,-1.4242140143
SRX3984058,-1.5538488188000001
SRX3984059,0.1944001096
SRX3984061,-0.0316386854
SRX3984062,-0.1333099899
SRX3984063,-0.6788627862000001
SRX3984064,-0.6934697534
SRX3984065,-0.1202130022
SRX3984066,-0.2676852428
SRX3984067,-0.12272341290000001
SRX3984068,-0.1879686414
SRX3984069,-1.2539989679999999
SRX3984070,-1.462122167
SRX3984071,-1.3103460691
SRX3984073,-0.3567856902
SRX3984074,-0.30839944080000004
SRX3984077,-0.5155896166
SRX3984078,-0.5605575528
SRX3984079,-1.0173713935
SRX3984080,0.2706647079
SRX3984082,-0.6042423473
SRX3984084,-1.5747118900000001
SRX6997963,-0.0600908526
SRX6997964,0.1579413224
SRX6997965,0.069594653
SRX6997967,0.2295134211
SRX6997968,0.30721749270000004
SRX6997969,0.3542037421
SRX6997971,-0.1694225685
SRX6997972,0.23783950310000002
SRX6997973,0.22914874340000002
SRX3159100,0.271999414
SRX3159101,-0.3341521545
SRX3159102,-0.0196312286
SRX3159103,0.0817839691
SRX3159000,-0.09920479830000001
SRX3159001,0.0857580488
SRX3159002,-0.1468844439
SRX3159003,-0.34854789
SRX3159004,-0.08337653810000001
SRX3159005,0.5550295541
SRX3159006,0.1496020739
SRX3159007,0.1253596944
SRX3159008,0.2256387651
SRX3159009,-0.0416636826
SRX3159010,0.438104097
SRX3159012,0.0992424871
SRX3159013,0.3084551873
SRX3159014,-0.3257759337
SRX3159015,0.8374787882
SRX3159016,0.1575527588
SRX3159017,0.4021603443
SRX3159018,-0.1195758098
SRX3159019,-0.2740178679
SRX3159020,-0.062259689300000004
SRX3159021,-0.0529056358
SRX3159022,-0.2747387015
SRX3159023,-0.2399541339
SRX3159024,0.5594841491
SRX3159025,-0.0006935981000000001
SRX3159026,-0.0935302345
SRX3159027,0.2844233969
SRX3159028,-0.1986306742
SRX3159029,0.039061236900000004
SRX3159030,0.22679874160000002
SRX3159034,-0.7940021517
SRX3159036,0.0022705587
SRX3159037,0.169967859
SRX3159041,-0.2786069496
SRX3159042,-0.3670896692
SRX3159043,0.0024548173000000003
SRX3159045,-0.5252257747
SRX3159047,-0.58785456
SRX3159048,0.1041446778
SRX3159049,0.3109167519
SRX3159050,0.5305000131000001
SRX3159051,-0.07552289300000001
SRX3159052,-0.1316676481
SRX3159053,-0.0177939156
SRX3159054,-0.0050337346
SRX3159055,-0.6231232163
SRX3159056,0.0801450019
SRX3159057,-0.7496580614
SRX3159058,-0.9753558142000001
SRX3159060,-0.5409668281000001
SRX3159061,-0.6977229239
SRX3159062,-0.0239417645
SRX3159063,-0.41050380870000003
SRX3159066,-0.10276704410000001
SRX3159069,-0.8651904337
SRX3159070,-0.1276598277
SRX3159071,-0.23144948310000002
SRX3159073,-0.6513360856
SRX3159074,-0.6797991732
SRX3159075,-0.1460128115
SRX3159076,0.0958723087
SRX3159080,0.0162981212
SRX3159082,0.1552994975
SRX3159083,-0.0981976548
SRX3159086,0.2937323241
SRX3159087,0.2845621157
SRX3159088,-0.09460152770000001
SRX3159089,0.12047548620000001
SRX3159090,0.2602278527
SRX3159091,-0.1404694309
SRX3159092,-0.1112832126
SRX3159093,0.45124070590000004
SRX3159094,-0.7858897521
SRX3159095,-0.3494244656
SRX3159096,-0.0091749734
SRX3159097,-0.19687985100000002
SRX3159098,-1.1055447059
SRX3159099,0.1323692338
SRX3158988,0.11479715430000001
SRX3158989,0.281285861
SRX3158990,-0.4002503391
SRX3158991,-0.20143122930000001
SRX3158992,0.0901459766
SRX3158996,-0.20494313090000002
SRX3644656,-0.18838151820000001
SRX3644657,0.0771567287
SRX3644658,0.1112247895
SRX3644659,0.0830529849
SRX3644660,-0.0277254216
SRX3644661,-0.1562918215
