,ycaN
Cr_1,-0.0002710788128613068
Cr_2,0.00832181051359702
Cr_3,0.012655811910145516
Cr_4,0.018692468747461215
Cr_5,0.025014535920313417
Cr_6,0.0272767955107658
Fe_1,-0.04137507444200825
Fe_2,-0.08615520813270584
Fe_3,-0.11288260973734188
Fe_4,-0.13632778943408716
Fe_5,-0.14413919115670304
Fe_6,-0.14524879528094245
Cd_1,0.011257687262900893
Cd_2,0.019868158521215547
Cd_3,0.0287949709770684
Cd_4,0.033810092115561394
Cd_5,0.03693131029606389
Cd_6,0.04652240110811405
Zn_1,-0.01965896646539257
Zn_2,-0.009331626445510994
Zn_3,0.015530572050339591
Zn_4,0.03705951015079497
Zn_5,0.06514906711461302
Zn_6,0.09256969572707473
Cu_1,0.006334859263250104
Cu_2,0.0072573035966016185
Cu_3,0.010194118112131278
Cu_4,0.02087511916038731
Cu_5,0.029407981712820393
Cu_6,0.043580189669666265
Pb_1,-0.009820999916615942
Pb_2,-0.007968746617333938
Pb_3,0.006598981025554149
Pb_4,0.0212698207483859
Pb_5,0.035801000927678496
Pb_6,0.03852057497298756
