,yeaZ
Cr_1,0.0014900015168233152
Cr_2,0.0034000012604534693
Cr_3,0.008126999896381323
Cr_4,0.009533584751564564
Cr_5,0.00866357304922197
Cr_6,0.00893367058589213
Fe_1,-0.010552528803782392
Fe_2,-0.0212402565654641
Fe_3,-0.028424503296806507
Fe_4,-0.04054592117246991
Fe_5,-0.05633253550989804
Fe_6,-0.06497021636083
Cd_1,0.0017466018907656125
Cd_2,0.003082515089423754
Cd_3,0.004072182614696571
Cd_4,0.004416583816073815
Cd_5,0.0027997971749468198
Cd_6,0.005324429817276007
Zn_1,-0.004024321652365453
Zn_2,-0.008584177520267182
Zn_3,-0.006596578376810172
Zn_4,-0.00247060578095052
Zn_5,0.0053787070068563965
Zn_6,0.014739526951328625
Cu_1,0.005297418942265147
Cu_2,0.012279754513557508
Cu_3,0.01963698605796256
Cu_4,0.02546336549678855
Cu_5,0.030793067187900845
Cu_6,0.03687093853344139
Pb_1,0.007184687908278858
Pb_2,0.015871219217311817
Pb_3,0.02404456111233993
Pb_4,0.026825436281706562
Pb_5,0.03614694316855277
Pb_6,0.04725330685518782
