,yqeG
Cr_1,0.020890922291127958
Cr_2,0.047327735583794564
Cr_3,0.07480700801450213
Cr_4,0.10043083765399896
Cr_5,0.1199043469928752
Cr_6,0.1304797135438717
Fe_1,-0.006588350147932149
Fe_2,-0.024630389209547188
Fe_3,-0.045809255132844284
Fe_4,-0.0712232608172205
Fe_5,-0.0983798051701311
Fe_6,-0.12290401738617004
Cd_1,-0.019807791829572482
Cd_2,-0.03663473204552657
Cd_3,-0.049080780453282034
Cd_4,-0.057213445390512825
Cd_5,-0.06241471687738648
Cd_6,-0.05283683098942295
Zn_1,-0.0036771123828629186
Zn_2,-0.011925766127590064
Zn_3,-0.016888070143296782
Zn_4,-0.0108873013788017
Zn_5,-0.0016966538717819682
Zn_6,0.009405389687615687
Cu_1,0.004209623766955172
Cu_2,0.008358596028691108
Cu_3,0.013758785471725463
Cu_4,0.018379743468779616
Cu_5,0.02499624259463392
Cu_6,0.03342650115401652
Pb_1,0.002971251405438673
Pb_2,0.004207770561920552
Pb_3,0.007683918349797225
Pb_4,0.01114285144072067
Pb_5,0.01410531876371496
Pb_6,0.02052209878172635
