,-0.141650976664823,-0.12141512285556257,-0.10117926904630214,-0.08094341523704172,-0.060707561427781304,-0.04047170761852088,-0.020235853809260462,-2.7755575615628914e-17,0.02023585380926038,0.040471707618520786,0.06070756142778122,0.08094341523704165,0.10117926904630206,0.12141512285556247,0.14165097666482293,0.16188683047408334,0.18212268428334374,0.20235853809260415,0.22259439190186456,0.24283024571112502
thresh,-0.030353780713890634,0.030353780713890634,1,,,,,,,,,,,,,,,,,
unreg,1,5,9,16,16,39,209,3745,201,47,10,9,8,8,2,0,0,0,0,0
unreg_genes,['ydzT'],['yraE' 'BSU_36499' 'ydzL' 'BSU_25875' 'ydzWma'],['yotF' 'ybbU' 'yrdDc' 'yyzO' 'yrkB' 'yvkN' 'ydhUn' 'yopG' 'yrkS'],"['yqaD' 'yyzB' 'ybfEc' 'yqcB' 'comGC' 'xkdD' 'ydzTn' 'BSU_36215' 'ykzK'
 'yotD' 'BSU_17099' 'ydjC' 'yunG' 'BSU_21639' 'cotU' 'yraG']","['yqjU' 'spsMn' 'yqaL' 'yopX' 'BSU_22205' 'yjcA' 'yrdB' 'senS' 'yoaU'
 'yxzI' 'swrAAc' 'fhuB' 'xhlA' 'yomZ' 'yqbNc' 'yocC']","['ytzI' 'levD' 'yhcH' 'ypbS' 'yveF' 'youA' 'yneI' 'ydzJ' 'BSU_40358'
 'yotC' 'BSU_04345' 'yoaS' 'rmgT' 'yycC' 'yraN' 'csfB' 'yoyC' 'yitI'
 'ylaK' 'yybH' 'BSU_28709' 'ypmA' 'ffoR' 'yolD' 'yopM' 'nupP' 'yybD'
 'yrdC' 'yrrT' 'ydgA' 'yoyF' 'BSU_02785' 'yphA' 'BSU_24205' 'ydfC' 'yozQ'
 'yvzF' 'yqzG' 'helP']",[],[],[],"['ydjH' 'ytdA' 'yjkA' 'yrzS' 'phrK' 'gerKC' 'sspH' 'yomD' 'BSU_21638'
 'yozG' 'yvzH' 'ywhL' 'ywaF' 'ykzR' 'spoIIIAB' 'yodS' 'yczF' 'ykzS'
 'BSU_17689' 'fbpB' 'comGD' 'ydzT' 'phrF' 'ydcH' 'ykvT' 'ureB' 'yflJ'
 'yqcA' 'yoyG' 'yopY' 'yqxA' 'fliS' 'yfhE' 'ynaD' 'mntP' 'ytrE' 'nupQ'
 'feuB' 'yyzH' 'BSU_21925' 'ylbB' 'arfM' 'yocN' 'acpS' 'yomT' 'yozX'
 'yomY']",['aseR' 'ydzT' 'ynaG' 'yczM' 'yomQ' 'ydcS' 'yycN' 'yqjC' 'yhdJ' 'yoqE'],['comGF' 'yosR' 'BSU_04849' 'yopV' 'yqcD' 'ydgB' 'yjqA' 'yebD' 'rpmGCc'],['ydjB' 'yotE' 'yuzG' 'ydzSc' 'BSU_38495' 'ykpC' 'yyzK' 'yrzN'],['BSU_04745' 'swrD' 'ydzTc' 'yojB' 'ypfB' 'yyzL' 'ydzM' 'ydcO'],['BSU_34399' 'ynzJ'],[],[],[],[],[]
