,rpsM
Cr_1,0.0016924229500449991
Cr_2,0.00436900243482392
Cr_3,0.006872200341985484
Cr_4,0.009887994704546784
Cr_5,0.013330801954146149
Cr_6,0.01357119824352659
Fe_1,-0.002485325177046489
Fe_2,-0.005818540273774511
Fe_3,-0.009322416976987245
Fe_4,-0.012726012673453524
Fe_5,-0.01216524921584211
Fe_6,-0.01234352838477868
Cd_1,0.0031340276658711986
Cd_2,0.003958998837048097
Cd_3,0.005178087079363595
Cd_4,0.0055143426120689894
Cd_5,0.005822453341845489
Cd_6,0.00692822052891866
Zn_1,-0.014719497823939191
Zn_2,-0.03170812641401274
Zn_3,-0.04644553358213084
Zn_4,-0.05830582202636786
Zn_5,-0.06665413536057073
Zn_6,-0.07356235814795455
Cu_1,-0.0021951293710564933
Cu_2,0.0006223667379048778
Cu_3,0.0025755627908065426
Cu_4,0.004066112623111926
Cu_5,0.006384359135387847
Cu_6,0.006618431843702911
Pb_1,0.0003025644740813511
Pb_2,-0.001957816009614427
Pb_3,-0.0070480802774298594
Pb_4,-0.010075300726205612
Pb_5,-0.01759087576801238
Pb_6,-0.020336923934396872
