,A,SaeR
R2,,0.6232402693160353
xmin,,7.4214481729
xmid,,
xmax,,11.7125999387
ystart,,-9.024437896337446
yend,,18.60499195406696
USA300_LAC_U01-Set001_CAMHB_PreCulture_1,0.32040992300000004,9.245337573
USA300_LAC_U01-Set001_CAMHB_Control_1,-0.32873049800000004,9.464384143
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_1,-0.027728908,9.4624954181
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_1,-0.106425346,9.5081663737
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_1,2.7881042750000002,9.6759593067
USA300_LAC_U01-Set001_CAMHB_PreCulture_2,0.43121316,9.1208433739
USA300_LAC_U01-Set001_CAMHB_Control_2,0.32873049800000004,9.3932025889
USA300_LAC_U01-Set001_CAMHB_0.15ug/mLNafcillin_2,-0.036868513000000006,9.5528527099
USA300_LAC_U01-Set001_CAMHB_0.5ug/mLNafcillin_2,-0.14197110400000001,9.5829862191
USA300_LAC_U01-Set001_CAMHB_1ug/mLNafcillin_2,2.816958063,9.6616138958
USA300_TCH1516_U01-Set000_CAMHB_Control_1,-0.7370538360000001,9.5689912081
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_1,2.607791581,9.660976628
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_1,3.217472569,9.6483933368
USA300_LAC_U01-Set001_R10LB_PreCulture_1,10.79918799,10.7926233641
USA300_LAC_U01-Set001_R10LB_PreCulture_2,9.919820439,10.5562591042
USA300_LAC_U01-Set001_R10LB_Control_1,16.0417565,11.2853158169
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_1,18.36337781,11.6324204151
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_1,16.44354609,11.5663277438
USA300_LAC_U01-Set001_R10LB_Control_2,13.61233807,11.1448684692
USA300_LAC_U01-Set001_R10LB_0.1ug/mLNafcillin_2,17.69039401,11.662383214
USA300_LAC_U01-Set001_R10LB_0.15ug/mLNafcillin_2,17.85089832,11.6468545526
USA300_TCH1516_U01-Set000_R10LB_Control_1,12.90273908,11.2154655566
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_1,10.69782742,10.4982854634
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_1,9.067271221,10.4527735681
USA300_TCH1516_U01-Set000_R10LB_Control_2,11.42511993,11.0939168177
USA300_TCH1516_U01-Set000_R10LB_0.031ug/mLNafcillin_2,10.13533378,10.5890146509
USA300_TCH1516_U01-Set000_R10LB_0.0625ug/mLNafcillin_2,8.199204012,10.4049031235
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_1,-4.075484689,9.1477096703
USA300_TCH1516_U01-Set000_CAMHB_PreCulture_2,-2.252573983,9.2461769734
USA300_TCH1516_U01-Set000_CAMHB_Control_2,0.7370538360000001,9.7042646364
USA300_TCH1516_U01-Set000_CAMHB_0.0625ug/mLNafcillin_2,2.084670627,9.6451884758
USA300_TCH1516_U01-Set000_CAMHB_0.5ug/mLNafcillin_2,0.668192063,9.4651651572
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_1,1.869402757,9.709307406
USA300_TCH1516_U01-Set000_CAMHB_1ug/mLNafcillin_2,0.865102377,9.6721392498
USA300_LAC_U01-Set004_CAMHB_Control_1,-1.9668172620000002,8.7236435975
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_1,-0.805949965,8.8707327497
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_1,-0.507003187,8.8570065824
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_1,-0.6855297720000001,8.8899015097
USA300_LAC_U01-Set004_CAMHB_Control_2,-0.619752657,8.9583892043
USA300_LAC_U01-Set004_CAMHB_0.65ug/mLVancomycin_2,-1.097661609,8.8515472828
USA300_LAC_U01-Set004_CAMHB_0.7ug/mLVancomycin_2,-1.487482484,8.9306804867
USA300_LAC_U01-Set004_CAMHB_0.8ug/mLVancomycin_2,-1.037955433,9.1081880486
USA300_LAC_U01-Set004_R10LB_Control_1,12.26019163,10.4387972961
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_1,13.73304836,10.360157321500001
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_1,11.92694225,10.1706484428
USA300_LAC_U01-Set004_R10LB_Control_2,13.17583682,10.3400540692
USA300_LAC_U01-Set004_R10LB_0.6ug/mLVancomycin_2,13.66102931,10.4323979813
USA300_LAC_U01-Set004_R10LB_0.8ug/mLVancomycin_2,13.92247049,10.2207862846
USA300_TCH1516_U01-Set003_CAMHB_Control_2,-1.034456388,8.3145565002
