locus,gene_weight,gene_name,gene_product,cog,operon,regulator,SaeR,link
USA300HOU_RS10555,0.218639884,USA300HOU_RS10555,chemotaxis inhibitory protein,No COG category,,"WalR,Genomic Island 9",False,https://aureowiki.med.uni-greifswald.de/SAUPAN005020000
USA300HOU_RS04500,0.16210849400000002,USA300HOU_RS04500,hypothetical protein,No COG category,,"SaeR,Genomic Island 3",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002880000
USA300HOU_RS10530,0.138638059,hlB,hypothetical protein,Lipid transport and metabolism,,"CodY,Genomic Island 9",False,https://aureowiki.med.uni-greifswald.de/SAUPAN005011000
USA300HOU_RS01170,0.135759067,USA300HOU_RS01170,hypothetical protein,No COG category,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001087000
USA300HOU_RS10875,0.131232283,hlgB,succinyl-diaminopimelate desuccinylase,Cell wall/membrane/envelope biogenesis,hlgB,"SaeR,WalR,Genomic Island 9",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005192000
USA300HOU_RS10525,0.13024417200000002,USA300HOU_RS10525,MAP domain-containing protein,No COG category,,"SaeR,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005009000
USA300HOU_RS10520,0.12823042,USA300HOU_RS10520,MAP domain-containing protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN005008000
USA300HOU_RS05785,0.127782057,USA300HOU_RS05785,FPRL1 inhibitory protein,No COG category,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003398000
USA300HOU_RS10870,0.12320578800000001,hlgB,gamma-hemolysin subunit B,Cell wall/membrane/envelope biogenesis,hlgB,"SaeR,WalR,Genomic Island 9",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005190000
USA300HOU_RS01965,0.121555568,USA300HOU_RS01965,toxin,No COG category,,"SaeR,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN001967000
USA300HOU_RS10550,0.12071450800000001,USA300HOU_RS10550,hypothetical protein,No COG category,,"SaeR,WalR,Genomic Island 9",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005018000
USA300HOU_RS04280,0.11603326100000001,USA300HOU_RS04280,hypothetical protein,No COG category,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002796000
USA300HOU_RS02190,0.11205719200000001,USA300HOU_RS02190,hypothetical protein,No COG category,,WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002132000
USA300HOU_RS03825,0.109883718,USA300HOU_RS03825,hypothetical protein,Function unknown,,"SaeR,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002594000
USA300HOU_RS05855,0.109454489,USA300HOU_RS05855,hypothetical protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003428000
USA300HOU_RS07360,0.10190030200000001,alD,alanine dehydrogenase,Amino acid transport and metabolism,"ykbA,ilvA,alD",Rex,False,https://aureowiki.med.uni-greifswald.de/SAUPAN003893000
USA300HOU_RS03820,0.10042527,USA300HOU_RS03820,hypothetical protein,Function unknown,"saeS,saeR",WalR,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002593000
USA300HOU_RS13085,0.09736789400000001,spA,immunoglobulin-binding protein sbi,Cell wall/membrane/envelope biogenesis,spA,"SaeR,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN005955000
USA300HOU_RS04275,0.09448906300000001,USA300HOU_RS04275,coagulase,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002791000
USA300HOU_RS02110,0.08952581400000001,USA300HOU_RS02110,hypothetical protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002106000
USA300HOU_RS02180,0.08711038,USA300HOU_RS02180,hypothetical protein,No COG category,,"SaeR,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002129000
USA300HOU_RS04285,0.08604104,USA300HOU_RS04285,hypothetical protein,No COG category,,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002797000
USA300HOU_RS03815,0.07550119,saeR,DNA-binding response regulator,Signal transduction mechanisms,"saeS,saeR","SaeR,WalR",True,https://aureowiki.med.uni-greifswald.de/SAUPAN002591000
USA300HOU_RS04290,0.075273111,nuC,thermonuclease,"Replication, recombination and repair",nuC,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002800000
USA300HOU_RS07740,0.07387748200000001,USA300HOU_RS07740,hypothetical protein,No COG category,,Genomic Island 6,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001829000
USA300HOU_RS07820,-0.07571259,USA300HOU_RS07820,hypothetical protein,No COG category,,Genomic Island 6,False,https://aureowiki.med.uni-greifswald.de/SAUPAN001477000
USA300HOU_RS02950,-0.076073316,sdrD,serine-aspartate repeat-containing protein D,"Cell cycle control, cell division, chromosome partitioning",sdrD,,False,https://aureowiki.med.uni-greifswald.de/SAUPAN002336000
