,SP5448_07010
SRX1726505,-0.16845920020000002
SRX1726506,0.3163992685
SRX1726507,-0.1479400683
SRX1726508,-0.7231976226
SRX1726509,-0.7471871924
SRX1726510,-0.46936892950000003
SRX1726511,-1.131404468
SRX1726512,-1.093330127
SRX1726513,-1.2003126747
SRX1081650,0.0074842712
SRX1081651,0.016856053000000003
SRX1081652,0.2031985415
SRX1081653,-0.0771661299
SRX1081654,0.09318172620000001
SRX1081655,0.2678492401
SRX1081656,0.1914839077
SRX1081657,-0.2768041799
SRX1081658,-0.0370869706
SRX1081659,0.3030293721
SRX1081660,0.4119123623
SRX1081661,-0.1247306239
SRX1081662,-0.0494480193
SRX1081663,-0.1652838196
SRX1081664,-0.0719895967
SRX1081665,-0.0336729214
SRX1081666,-0.0986499056
SRX1081668,-0.0587429441
SRX1081669,0.0064890002
SRX1081670,-0.2178068782
SRX1081671,-0.29010248520000004
SRX1081672,-2.2057228551
SRX1081673,-2.1808805033
SRX1081674,-1.9630585982
SRX1081675,-2.0462482852
SRX1081676,-2.0735267116
SRX1081677,-1.9567324197
SRX1081678,-1.6116194153999999
SRX1081679,-1.9196882876
SRX1081680,-1.8989961165
SRX1081681,-1.8458600977000001
SRX1081682,-1.7830710273
SRX1081683,-2.0487746171
SRX1081684,-2.1285183568
SRX1081685,-2.2125313297
SRX1081686,-2.1353960866
SRX1081687,-2.2377102344
SRX1081688,-2.2701980245
SRX1081689,-2.2252304677
SRX1081690,-1.9319902961
SRX1081691,-1.9663731822
SRX1081692,-1.9625894198
SRX1962715,0.0575601186
SRX1962716,-0.0136924126
SRX1962717,-0.043867706
SRX1962718,-0.38785089180000004
SRX1962719,0.17068378450000002
SRX1962720,0.0018743883000000002
SRX1962721,-0.0602288902
SRX4892146,-0.031001258
SRX4892147,0.000696194
SRX4892148,0.0423837542
SRX4892149,-0.0120786902
SRX4892150,0.0213305975
SRX4892151,-0.0822145668
SRX4892152,-0.045529972700000004
SRX4892153,-0.1330434583
SRX4892154,-0.1543066353
SRX4892155,0.0142070042
SRX4892156,-0.051466956800000005
SRX4892157,-0.015200613100000001
SRX4892158,0.016766368
SRX4892159,-0.027905336500000003
SRX4892160,0.1182681421
SRX4892161,0.1861779041
SRX7620814,0.0370547658
SRX7620815,0.1262164899
SRX7620816,0.1758018005
SRX7620817,0.28227259180000003
SRX7620818,0.225904912
SRX7620819,0.40435938930000004
SRX7620856,-0.1436630228
SRX7620857,-1.4132185901
SRX7620858,0.105347429
SRX7620859,-1.4634802843
SRX7620860,-0.5573034705000001
SRX7620861,-1.6830706411
SRX7620862,-0.4803200884
SRX7620863,0.12226178380000001
SRX7620864,0.1568405786
SRX7620865,-0.0633190882
SRX7620866,-0.015593546500000001
SRX7620867,-0.1300556545
SRX2161502,-0.0981586036
SRX2161503,0.045932777
SRX2161504,0.0522258265
SRX2161505,0.4581946559
SRX2161506,0.23992138400000002
SRX2161507,0.0322306881
SRX2161508,0.3706107629
SRX2161509,0.5504292532
SRX2161510,0.3832269889
SRX2161511,0.4952117667
SRX2161512,0.5012027330000001
SRX2161513,0.5604040396000001
SRX2161514,-1.8130304754000002
SRX2161515,-1.8940783467000002
SRX2161516,-1.9562084179
SRX2161517,-1.8832674037000001
SRX2161518,-1.5419764987
SRX2161519,-1.8011166561
SRX2161520,-1.1197272828
SRX2161521,-1.0363339371
SRX2161522,-0.9238480412000001
SRX2161523,-1.493954143
SRX2161524,-1.4881661851
SRX2161525,-1.4242134227
