,nac
Cr_1,0.0026652683897079358
Cr_2,0.004925975288501743
Cr_3,0.006343140398398038
Cr_4,0.0006055510052238116
Cr_5,-0.006726916470023601
Cr_6,-0.013287618234857057
Fe_1,-0.009080126352255222
Fe_2,-0.02765527949207084
Fe_3,-0.05155411170078935
Fe_4,-0.08052717873110325
Fe_5,-0.10086291436957892
Fe_6,-0.11212226061247417
Cd_1,0.004880273615787922
Cd_2,0.010546759640457945
Cd_3,0.019261013937162397
Cd_4,0.029967881429578125
Cd_5,0.034017271732364913
Cd_6,0.0429196518137498
Zn_1,-0.013309785949924834
Zn_2,-0.024067735859133445
Zn_3,-0.020860008512180617
Zn_4,-0.009505964054411372
Zn_5,0.008801231513186448
Zn_6,0.02354275785656117
Cu_1,0.009275968434544734
Cu_2,0.01734167313794062
Cu_3,0.02433277544269239
Cu_4,0.030044247889036323
Cu_5,0.03534104314194575
Cu_6,0.0453710019729393
Pb_1,0.0029942706967594807
Pb_2,0.003050118106003186
Pb_3,0.011216538868953813
Pb_4,0.021329063614000925
Pb_5,0.03186624752923989
Pb_6,0.050000709607315744
