,moeA
Cr_1,-0.0012934733422143678
Cr_2,0.001114039181207342
Cr_3,0.004111719196255778
Cr_4,0.003959536106616435
Cr_5,0.0032577777384746797
Cr_6,0.0036028635014162353
Fe_1,-0.009972906732610016
Fe_2,-0.01901424036115086
Fe_3,-0.01869146552865264
Fe_4,-0.016523081683475015
Fe_5,-0.006559360572334382
Fe_6,0.005235001186120643
Cd_1,-0.0017479684203026648
Cd_2,-0.002234020173860044
Cd_3,0.0005313739323163665
Cd_4,0.001894170102512207
Cd_5,-0.0010575526741616373
Cd_6,-0.00034366656276408486
Zn_1,-0.004654488416677658
Zn_2,0.0013728399533640585
Zn_3,0.0163781290670154
Zn_4,0.03653358898022668
Zn_5,0.05526298844678466
Zn_6,0.06628035347344084
Cu_1,0.002506980652054055
Cu_2,0.006679258578044247
Cu_3,0.009877365431773288
Cu_4,0.012822586774439251
Cu_5,0.01832664948191388
Cu_6,0.02109785955675044
Pb_1,3.1800173989233964e-05
Pb_2,-0.0025807499078391643
Pb_3,-0.002322138351535669
Pb_4,-0.004553455105300689
Pb_5,-0.0011977899504293467
Pb_6,0.00035296925598769563
