,tdcB
Cr_1,0.0054323773139982575
Cr_2,0.012765724186617712
Cr_3,0.021070615920777847
Cr_4,0.02829516037996348
Cr_5,0.0340033683540839
Cr_6,0.03840917271208697
Fe_1,-0.0013311814350156807
Fe_2,-0.019809082155494456
Fe_3,-0.03435276485109907
Fe_4,-0.050950123219296456
Fe_5,-0.060125180480759335
Fe_6,-0.0687974062133858
Cd_1,0.003901975786802983
Cd_2,0.008195960426870656
Cd_3,0.012444352331944488
Cd_4,0.016987812379480608
Cd_5,0.014604012580764512
Cd_6,0.019919014647842515
Zn_1,-0.0053066783777879645
Zn_2,-0.012005508784759934
Zn_3,0.004169748556149246
Zn_4,0.01099790207758186
Zn_5,0.013716163359388616
Zn_6,0.018604870932330857
Cu_1,0.003206572183989468
Cu_2,0.004953552249367171
Cu_3,0.011115993703067659
Cu_4,0.014207726413126584
Cu_5,0.016831010718262734
Cu_6,0.02343018018760941
Pb_1,0.008060308710789785
Pb_2,0.015192596782969647
Pb_3,0.031545460791807
Pb_4,0.045315966593640594
Pb_5,0.05536805534442684
Pb_6,0.07273724236692496
