,ycdN
Cr_1,0.0017190535075339273
Cr_2,0.003920913464733743
Cr_3,0.003652138139839839
Cr_4,0.003122352699681509
Cr_5,0.0025757243099425163
Cr_6,0.0007726187017895916
Fe_1,-0.004636145629405172
Fe_2,-0.012199828275384876
Fe_3,-0.030707140949631617
Fe_4,-0.0546003359880338
Fe_5,-0.07659214335441376
Fe_6,-0.08380538625262185
Cd_1,0.002778357728367602
Cd_2,0.007650284033717977
Cd_3,0.01156614661414555
Cd_4,0.01600540166603423
Cd_5,0.015783944097987678
Cd_6,0.021198559036825444
Zn_1,-0.0001943912758191975
Zn_2,0.008087705418845306
Zn_3,0.02795903004201267
Zn_4,0.05501707901910288
Zn_5,0.0765361162604859
Zn_6,0.0950690251350836
Cu_1,0.003460383569458207
Cu_2,0.008912065021661322
Cu_3,0.014665836835985187
Cu_4,0.02779975614673562
Cu_5,0.039519766604088034
Cu_6,0.04992665609975877
Pb_1,0.009679086353090376
Pb_2,0.023005298130378358
Pb_3,0.028228104395457337
Pb_4,0.03819271805103438
Pb_5,0.041656366581329665
Pb_6,0.051735705551456235
