,rpe
Cr_1,-0.008309133200123341
Cr_2,-0.007736158528794117
Cr_3,0.013140158407849576
Cr_4,0.01911629824224657
Cr_5,0.0014710689580522546
Cr_6,-0.007047142217659377
Fe_1,-0.036766522042180255
Fe_2,-0.049281847005464466
Fe_3,-0.06898395269409664
Fe_4,-0.08009906609301215
Fe_5,-0.08166545158030411
Fe_6,-0.08671757853609763
Cd_1,-0.0018279147812454012
Cd_2,-0.003276985713690409
Cd_3,-0.0026609460853178326
Cd_4,0.001085394725582469
Cd_5,-0.003189090162279689
Cd_6,0.0014115828914090347
Zn_1,-0.0004746017333855128
Zn_2,5.973018196734354e-05
Zn_3,-0.0006490886500800793
Zn_4,-0.013415871751730271
Zn_5,-0.010799874788639221
Zn_6,-0.023336292511224398
Cu_1,0.007448987255070303
Cu_2,0.0019295292486050312
Cu_3,0.009566531076641904
Cu_4,0.015701678781012692
Cu_5,0.018190864215156904
Cu_6,0.023334438380092238
Pb_1,0.004083977373848069
Pb_2,0.009115592949441741
Pb_3,0.01656277653299184
Pb_4,0.02903388944019732
Pb_5,0.027279134719279775
Pb_6,0.030974592386029624
