,A,LicR
R2,,0.04960595354004316
xmin,,-2.3089666667
xmid,,
xmax,,1.5927333333
ystart,,5.630956991640538
yend,,-1.533706626549511
LBexp_1,4.6143007841,-0.5335666667
LBexp_2,3.5517783246,-0.2126666667
LBexp_3,2.5021706685,-1.0237666667
LBtran_1,6.2104554259,1.3119333333
LBtran_2,6.2167015019,0.0473333333
LBtran_3,5.1846558607,-0.30866666670000004
LBstat_1,-7.7433610692,0.7162333333
LBstat_2,-6.9301226755,0.48863333330000003
LBstat_3,-4.9941487698,0.7076333333
LBGexp_1,4.7647866623,-1.0341666667
LBGexp_2,3.5650940489,-1.0704666667
LBGexp_3,6.3182701715,-1.1217666667
LBGtran_2,3.7276053624000003,-1.7458666667
LBGtran_3,2.4306325511,-0.7666666667
LBGstat_1,11.7248857653,-2.3089666667
LBGstat_2,11.9938424144,-1.8541666667
LBGstat_3,8.0725755887,-1.5602666667
S0_1,-3.3412428456,-0.9092666667
S0_2,-1.9452848307,-0.8760666667
S0_3,-1.4563347499,-0.5654666667
S1_1,-1.1073677464,1.4531333333
S1_2,-0.3038146603,1.4387333333
S1_3,-1.3332270917,1.5927333333
S2_1,-4.1139609566,0.8688333333
S2_2,-4.4749605131,0.6861333333
S2_3,-2.8861588473,0.6799333333
S3_1,-5.3149350743,0.5276333333000001
S3_2,-6.7374686591,0.6403333333
S4_1,-2.1257569329,0.6928333333000001
S4_2,0.1410207091,0.4580333333
S4_3,1.4648670183,-0.0074666667
S5_1,-2.8621906257000003,0.4047333333
S5_2,-2.3813296404,0.7756333333000001
S5_3,-3.0690011672,0.7457333333
S6_1,2.0717968386,0.2428333333
S6_2,6.623944753,-0.9057666667000001
S6_3,0.5519150243000001,0.2257333333
S6/t_1,3.9205296342000002,0.16563333330000002
S6/t_2,6.5015707288,-1.4746666667000001
S6_4,3.7018136865,-0.5412666667
S6_5,2.4468069217,-0.036466666700000004
S6_6,1.9350802468000001,0.1126333333
S7_4,5.0774346201,-0.2230666667
S7_5,5.9913131855,-0.39286666670000003
S7_6,5.8111727441,-0.13066666670000002
S8_4,5.3616159888,-0.4999666667
S8_5,9.6199051849,-0.7813666667
G135_1,3.5108509933,-1.2019666667
G135_3,1.8078906715,-2.1898666667
G150_1,3.8406744055,-0.8853666667000001
G150_2,7.4106943666,-0.3427666667
G150_3,6.0896194019,-0.3588666667
G180_1,5.3342993832,-1.3014666667
G180_2,5.7565644494,-0.8956666667000001
G180_3,4.2526606477,-1.8256666667
C30_1,7.4418157127,-1.1632666667
C30_2,6.4292980962,-0.6991666667
C90_1,-2.630168179,0.1135333333
C90_2,-5.2128514608,0.5019333333
BI_1,-8.4198432344,-0.00046666670000000004
BI_2,-8.2144476463,-0.10076666670000001
BC_2,-9.8320711187,0.7358333333
BC/t_1,-7.9906042453,0.3472333333
BC/t_2,-5.9740541728,0.5663333333
BC_1,-8.0971167311,0.3082333333
Sw_1,-8.4931516612,0.1308333333
Sw_2,-9.0538617065,0.8982333333
BT_1,3.6443181482,-0.6758666667000001
BT_2,3.2073189704,-1.1068666667
B36_1,4.8592254587,-0.0855666667
B36_2,3.2705445506,-0.20976666670000002
B60_1,12.1705202198,-0.2103666667
B60_2,10.7413685316,-0.056066666700000004
M9exp_1,-0.5930084752,0.3006333333
M9exp_2,-0.069260901,-0.0434666667
M9exp_3,0.6622693762,-0.2571666667
M9tran_1,-1.486887098,-0.1807666667
M9tran_2,-1.1814902192,-0.1353666667
M9tran_3,-2.8511546619,0.07273333330000001
M9stat_1,1.4898902044,-0.7408666667
M9stat_2,2.2152314632,-0.7470666667
M9stat_3,1.9007994562000001,-0.9262666667
M+G_1,3.2213353716,-0.8817666667
M+G_2,-0.0351040656,-0.4127666667
M+G_3,-0.3480564579,-0.6456666667000001
Glu_1,-1.6918538791,-0.0753666667
Glu_2,-2.3581362218,-0.0414666667
Glu_3,-1.5587644353,0.1537333333
Fru_1,0.057863129000000006,0.3093333333
Fru_2,-3.4397160412,0.4091333333
Fru_3,-2.3441268769,-0.19366666670000002
Mal_1,-0.7263698281000001,-0.8761666667
Mal_2,-0.8401228857,-0.4630666667
Mal_3,-1.6410460129,-0.2461666667
G+S_2,-0.8821454018,-0.5587666667
G+S_3,-2.6980736391,0.0084333333
Pyr_1,-2.2880835297,-0.4161666667
Pyr_2,-2.4998714573000003,-0.13116666670000002
Pyr_3,-2.2684185045,-0.3926666667
Gly_1,3.8513982650000003,-0.9935666667
Gly_2,4.1702660923,-0.38976666670000004
Gly_3,6.770881319,-1.5470666667000001
Glucon_1,-2.3316293183,-0.6082666667000001
Glucon_2,-3.8344984182,-0.4055666667
Glucon_3,-0.9444212117,-0.5830666667000001
aero_1,3.0005924656,-0.1600666667
aero_2,3.9121193376,-1.1815666667
aero_3,2.0222520676,-0.7571666667
nit_1,-5.6165828399,-0.6644666667
nit_2,-8.4170291126,-0.2772666667
nit_3,-7.9731541834,-0.7019666667000001
ferm_1,-3.6808950267,-0.7560666667
ferm_2,-8.4016103517,-1.8093666667
ferm_3,-7.1037078018,-1.1117666667
T-5.40H_1,-3.5838875505,0.4121333333
T-4.40H_1,-2.6331689192,0.0428333333
T-3.40H_1,-2.6963151302,-0.0796666667
T-2.40H_1,-2.6540610424,-0.3289666667
T-1.40H_1,-3.8157527054,-0.5811666667000001
T-1.10H_1,-4.3208388114,-0.5450666667
T-0.40H_1,-3.8344884816,-0.4793666667
T0.0H_1,-2.3982645338,-0.5584666667
T0.30H_1,11.4748536228,-0.2250666667
T1.0H_1,12.1960897803,-0.2413666667
T1.30H_1,15.692625675,-0.2103666667
T2.0H_1,13.308790796,0.0298333333
T2.30H_1,9.060327859,0.8229333333000001
T3.0H_1,7.7045745041,0.3599333333
T3.30H_1,6.3369464428,0.7609333333
T4.0H_1,4.6806352516,0.7617333333
T5.0H_1,3.205265587,0.1410333333
HPh_1,5.1456500156,-0.2363666667
HPh_2,4.8149325599,-0.7242666667000001
HPh_3,5.332637664,-0.8018666667000001
LPh_1,5.1171027096,-0.2853666667
