locus,gene_weight,gene_name,gene_product,cog,operon,regulator,LicR,link
new_3466157_3466342_c,0.09880064200000001,S1296,3'UTR of sdpI,No COG category,,"SdpR,SigA,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3466157_3466342_c
BSU_38570,0.086928508,licA,"lichenan-specific [[category|SW 1.2.2|PTS]], EIIA component",Carbohydrate transport and metabolism,licB->licH,"SigA,LicR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38570
new_3466069_3466155_c,0.08490618,S1295,3'UTR of sdpI,No COG category,,"SdpR,SigA,AbrB",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3466069_3466155_c
BSU_38560,0.084813991,licH,6-phospho-beta-glucosidase,Carbohydrate transport and metabolism,licB->licH,"SigA,LicR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38560
BSU_13890,0.082818904,ptsG,"glucose permease, trigger enzyme",No COG category,ptsG->ptsI,"SigA,GlcT,stringent response",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU13890
new_1457005_1457156,0.08205240300000001,S505,intergenic region,No COG category,,,False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_1457005_1457156
BSU_38580,0.081659615,licC,"lichenan-specific lichenan-specific [[category|SW 1.2.2|PTS]], EIIC component",No COG category,licB->licH,"SigA,LicR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38580
BSU_38590,0.078863944,licB,"lichenan-specific [[category|SW 1.2.2|PTS]], EIIB component",Carbohydrate transport and metabolism,licB->licH,"SigA,LicR,CcpA",True,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/BSU38590
new_3014345_3014422_c,-0.088865449,S1118,5'UTR of argG,No COG category,,"AhrC,YlxR",False,http://subtiwiki.uni-goettingen.de/v3/gene/search/exact/new_3014345_3014422_c
