,yjeN
Cr_1,0.00904913013073415
Cr_2,0.006650304692968385
Cr_3,0.006263178891755274
Cr_4,0.004149542559471552
Cr_5,0.005669617222334183
Cr_6,0.004565305909421488
Fe_1,-0.010057641072873724
Fe_2,-0.03140669662422118
Fe_3,-0.039876148729836386
Fe_4,-0.048926758004041206
Fe_5,-0.05538506607637896
Fe_6,-0.06392999472237959
Cd_1,0.0047082891943667745
Cd_2,0.010790450115513429
Cd_3,0.014724797848337391
Cd_4,0.022298110171745808
Cd_5,0.028814729134913314
Cd_6,0.03681943746258707
Zn_1,-0.013685382420877959
Zn_2,-0.01160047452516182
Zn_3,0.003594536213516561
Zn_4,0.018663663845789404
Zn_5,0.03892414484656074
Zn_6,0.05922686050416229
Cu_1,-0.00039772896358278867
Cu_2,0.0031101614362787963
Cu_3,0.010631041283346906
Cu_4,0.016639514634958868
Cu_5,0.02224219772425562
Cu_6,0.0279531801596197
Pb_1,-0.00572783494060515
Pb_2,-0.007843384060805505
Pb_3,-0.01044319704625678
Pb_4,-0.0035582208897058454
Pb_5,-0.005720516023544965
Pb_6,0.0016468903419531613
