,ydfI
Cr_1,-0.0020044974183319967
Cr_2,0.004549082074262682
Cr_3,0.012425864693017388
Cr_4,0.02153823250339606
Cr_5,0.010871995838273096
Cr_6,0.0005217322426911381
Fe_1,-0.027265390761756148
Fe_2,-0.06567455062879934
Fe_3,-0.08959179968934618
Fe_4,-0.11826052959408405
Fe_5,-0.15503524934507326
Fe_6,-0.16153664540071988
Cd_1,0.002049009198716356
Cd_2,0.0013370178097884995
Cd_3,0.004118473489689804
Cd_4,0.014091359454440441
Cd_5,0.0153062341560915
Cd_6,0.016993287506883004
Zn_1,0.012105115665753972
Zn_2,-0.0030031868090970477
Zn_3,0.007588718675422006
Zn_4,0.02189443335078164
Zn_5,0.02446097578374515
Zn_6,0.00415065436804874
Cu_1,0.008980719298418491
Cu_2,0.021350215185882725
Cu_3,0.02863595092815767
Cu_4,0.03660893976988925
Cu_5,0.04224585040511559
Cu_6,0.04674247383568192
Pb_1,-6.773691937569449e-05
Pb_2,0.008015827482423129
Pb_3,0.017622132993535915
Pb_4,0.022113273285445156
Pb_5,0.030415563651401505
Pb_6,0.032400131353668336
