,znuA
Cr_1,-0.01338341918150907
Cr_2,-0.019372239836950002
Cr_3,-0.021968506005502927
Cr_4,-0.03613088398612576
Cr_5,-0.04689013130595989
Cr_6,-0.053426006348293316
Fe_1,-0.014316515120012044
Fe_2,-0.03665809201984521
Fe_3,-0.06143985383988855
Fe_4,-0.08709922013594867
Fe_5,-0.08374588495731951
Fe_6,-0.061234281896532586
Cd_1,0.011522463193128864
Cd_2,0.0185749346464336
Cd_3,0.023094811463656467
Cd_4,0.01839015509325524
Cd_5,0.007252579944757444
Cd_6,-0.011841480968535142
Zn_1,-0.022761588948099397
Zn_2,-0.0384993999993201
Zn_3,-0.06282335527181508
Zn_4,-0.08200792324097105
Zn_5,-0.12415779123812964
Zn_6,-0.1686360413265392
Cu_1,0.0174433142006883
Cu_2,0.03241275249516585
Cu_3,0.03942592120328707
Cu_4,0.04425719868100308
Cu_5,0.03939337839913053
Cu_6,0.028751060260261432
Pb_1,0.0018718723265933133
Pb_2,0.007295943637251675
Pb_3,0.01040040263900112
Pb_4,0.017707187773948637
Pb_5,0.025948472963491308
Pb_6,0.03760268930256745
