,A,Crp,Fur
R2,,0.00839336554825798,0.0029851141143588666
xmin,,-9.852476477,-9.893921886
xmid,,-0.2806237677223526,
xmax,,2.5388323397,3.7262191745
ystart,,-0.04252040495362455,1.0986466332430689
yend,,-1.179392395222719,-0.6990030042514326
SRX1125282,-0.12032001460000001,0.0344951212,-0.019353005700000002
SRX1125283,0.1168760187,0.1435731223,0.2305871583
SRX1125284,0.5300469751,0.2534372822,0.7275786303
SRX1125285,1.9393417917,0.283920339,1.208661552
SRX1125286,-0.5044083573,0.3175329239,1.1169083627
SRX1125287,-0.7486221704,0.17602055360000002,1.0786663615
SRX1125288,0.1694506819,0.005256366,-0.0089366757
SRX1125289,0.5662858785,0.2819816342,0.5340986209
SRX1125290,1.3921861196,0.2801678667,0.8046125807000001
SRX1125291,2.3057754834,0.4762089513,1.2652089755
SRX1125292,0.1603889759,0.5370175003000001,0.9467520126000001
SRX1125293,-0.6784941862,0.5086233319,1.0346662242
SRX1125294,-0.0491306673,-0.039751487200000005,0.028289681400000002
SRX1125295,0.0356677002,0.2905320638,0.43446716560000004
SRX1125296,0.87943825,0.1859933018,0.6134168988
SRX1125297,1.2639752899,0.3699621097,1.29823639
SRX1125298,-0.7210544528,0.5483756585,1.3466842796
SRX1125299,-0.9386225148,0.50143841,1.1321686126000001
SRX5694250,-1.0229214859,-0.4516798918,0.15514151240000001
SRX5694251,2.7663926464,-1.8893970692000002,0.4377684502
SRX5694252,-1.8114826816,-0.1701238306,-0.4062446666
SRX5694253,0.140555593,0.1340371706,0.46838079790000003
SRX5694254,0.1432866271,-0.8477189713000001,0.6257311257
SRX5694255,1.0164253696,0.1307715067,1.2222652304000001
SRX5694256,-1.2053354217,-0.2340068764,0.18962784700000002
SRX5694257,2.0601603885,-0.33700626310000004,1.1965334314
SRX5694258,1.368925991,-0.2857852433,0.2926141826
SRX5694259,0.6604791432,-2.9247054987,0.14519100170000002
SRX5694260,-1.6113793515000001,0.0899715865,-0.0246486099
SRX5694261,-3.3983196182,-1.6070723407,-1.6263367794999999
SRX5694262,-1.4654927177000001,-0.5390842036,-0.8044302194
SRX5694263,-1.0892302755,-0.0980165268,-0.0720290764
SRX5694264,-0.347805091,0.2016373309,0.463461864
SRX5694265,-0.2025819005,-0.2490351859,-0.5470965469
SRX5694267,0.572662878,0.0411821817,0.30733720410000004
SRX5694268,-2.6587876188,0.0231238538,-0.2169944251
SRX5694269,0.10082088460000001,0.0476350313,-0.0938650437
SRX5694271,1.1158259814,0.24713669740000002,0.2777125167
SRX5694273,0.9174335391,-1.5465123927,-0.7033619888
SRX5694274,-0.6777454142,0.2066153554,-0.2520653392
SRX5694275,-1.2513647719,-0.5157335737000001,-0.7046253372
SRX5694276,1.9862365976,-1.8223907651,0.0317203545
SRX5694277,-0.9704300442,0.36042412560000003,0.233701549
SRX5694278,1.0237781805,-1.3002511837,-0.40180014550000004
SRX5694279,0.6836821114,0.3379205155,-0.2256123391
SRX5694280,-0.6350946173,-0.6834405493,-0.0690208313
SRX5694281,0.09864661920000001,0.1656640608,0.0975378159
SRX5694282,3.3020763498,-0.9934080376000001,0.9722225077000001
SRX5694283,-1.7029249803000002,-0.3443110079,-0.3926104231
SRX5694284,-2.4752511310000003,-0.9407234058,-0.011125823600000001
SRX5694285,0.6966910399,-0.0040549861000000005,-0.1153333252
SRX5694286,-0.8681300102,-0.1478341465,-0.43185484830000004
SRX5694287,-1.314960722,-0.1558928562,0.4129649769
SRX5694288,-0.6503211687,0.2764607147,-0.2012607397
SRX5694289,-0.0817435962,-0.14661147630000002,0.3114276031
SRX5694290,-0.2235420954,0.2201400917,0.4279505287
SRX5694291,1.2619601572999999,0.1874058842,1.2267004369
SRX5694292,-0.2478569626,0.0513472187,-0.1819792789
SRX5694293,1.2021039997,0.3866879371,0.0923447817
SRX5694294,1.1883161047,-0.0602559214,0.4137604635
SRX5694295,0.4343305981,-1.4743546362,-0.0411889955
SRX5694296,0.2604519335,-0.13444608700000002,0.4465032129
SRX5694297,2.4505455511,-1.621907484,1.1929509728
SRX5694298,-1.0388893296,-0.0376343135,-0.24377161500000002
SRX5694299,0.19792276,-0.0810478849,0.1022267718
SRX5694300,-0.9303286436,0.1296583874,-0.08204266710000001
SRX5694301,0.17232688340000002,0.2017965224,-0.40016228400000003
SRX5694302,-1.3049061009,0.1490464558,-0.1309359008
SRX5694303,-1.9361627870000002,0.2623448043,0.0090969511
SRX5694304,-0.35563132740000003,-0.22631582460000002,-0.1838030893
SRX5694305,0.9647505988,-1.9945889461,0.46724588110000004
SRX5694306,1.2189185486,-0.303318389,-2.4282303025
SRX5694307,2.9312305106,-0.9213934478,0.9629089327
SRX5694308,-0.4217305934,-0.5542551321,0.12368935310000001
SRX5694309,1.2354216977,-2.4371824129,0.8900661546
SRX5694310,-0.3905650686,-0.6975730314,-0.3167585807
SRX5694311,0.6087060733,-2.788252041,-0.2278540168
SRX5694312,0.6259709410000001,-0.46271994780000003,-1.2068082598
SRX5694313,-1.5904766786,-1.0117169578,-0.22732878210000002
SRX5694315,-2.2134788157,-0.1729404675,-0.6056212274
SRX5694317,-0.6511697757,0.2138522692,0.20430109170000002
SRX5694319,-0.8872498621,0.22403181360000002,0.2181452225
SRX5694320,0.8682901335000001,-0.09237995040000001,1.1462812854
SRX5694321,0.4102672268,-0.38942819040000004,0.3636055414
SRX5694322,3.5721688188,-1.1362642293,0.4631088042
SRX5694323,-0.35278757110000003,-0.41342659340000004,0.2378312514
SRX5694324,1.2009551475,-1.6036324816,0.3246086132
SRX5694325,0.2670459945,-0.5104274184,0.5482222344000001
SRX5694326,-1.7016922486000001,-0.1584196907,-0.010888811600000001
SRX5694327,0.060516236,-0.6589226995,-0.2638272614
SRX5694328,-1.5563980849,0.1764471632,-0.036860092500000004
SRX5694329,3.6998032211,-0.5799739837,1.0691590726
SRX5694330,0.0514868183,-0.6950204566,-2.3252710335
SRX5694331,2.0384078601,0.245553549,0.4110728621
SRX5694332,-0.4629609879,-0.24882076420000002,0.20007652210000001
SRX5694334,-0.5419466512000001,-1.0972302127,0.1010918916
SRX5694335,1.1539166892,-2.0210704043,0.3957199563
SRX5694336,1.2622936134,-1.6584843203,0.3948733358
SRX5694337,-2.3985418622,-0.2397944182,0.3573052694
SRX5694338,-2.5652159292,0.1989831632,-0.4525821431
SRX5694339,-0.2295841332,0.10670366340000001,-0.0191556582
SRX5694340,-1.7411902778,-0.1227589166,0.0293777617
SRX5694341,0.6050189694,-1.4531793695,0.9859149752
SRX5694342,4.2941137806,-1.642695013,0.6808311431
SRX5694343,0.6026692839000001,-0.659556922,0.5317095390000001
SRX5694344,2.0417380322,-0.5482364304,0.9360842386
SRX5694345,0.40385881830000003,-0.1455592358,0.0201775326
SRX5694346,-0.1796433853,-0.6506498564000001,-0.1146899157
SRX5694347,0.3762179429,-0.0665078507,0.2708414096
SRX5694348,-1.8154478013,0.0163008612,-0.1572171319
SRX5694349,-1.2328057795,0.3281616036,-1.0886919379
SRX5694350,0.5306326932000001,-1.3897674496999999,0.144184582
SRX5694351,2.294574998,-0.94657928,1.3811692108
SRX5694352,-1.5599474886,-0.11358356480000001,-0.114163683
SRX5694353,0.5231063478,0.2090437913,-0.011465710300000001
SRX5694354,-0.5039300371000001,0.156288703,-0.5847029634
SRX5694356,0.3601867434,0.1914919696,0.055385097200000004
SRX5694357,2.2978133681,-1.6521756011000002,0.9606707476
SRX5694358,3.6887431359000002,-0.2527058608,1.2914517682
SRX5694359,-2.2056351999,-0.30657057660000003,-0.2855045002
SRX5694360,-1.1969354396,-0.2669976047,-0.638620278
SRX5694361,3.2691158796,-1.0307723459,-1.5132484745
SRX5694362,-1.3820461133,-0.0309958632,-1.9652494854
SRX5694363,1.5817419872,-0.3804310446,1.2542890818
SRX5694364,0.6907126728,-2.3462003852,0.7876454059
SRX5694365,0.831500141,-0.6041545277,0.8906258525
SRX5694366,-0.4159572971,-0.054980210200000004,0.2089985611
SRX5694367,0.3515585412,-0.7076949831,0.5213602361
SRX5694368,-1.257168707,0.1102525246,-0.018460327500000002
SRX5694369,-0.6952873156,-0.0590977866,-0.1647844436
SRX5694370,1.2380529493,-0.22081801820000002,0.0016327890000000002
SRX5694371,1.246904903,-2.3057897995,0.8165281951000001
SRX5694372,0.0710710388,-0.3165443482,-0.3342762494
SRX5694373,-0.7380253814000001,-1.5399098517,-0.0047591478
SRX5694374,1.0516810775,-0.3411830033,0.7615916478
SRX5694375,-1.1169041616,-0.0340696975,-0.23131398720000002
SRX5694376,-0.3225674387,-0.31705369640000003,0.6436264924
SRX5694377,1.0657737239,-0.5697764494,0.7703477697000001
SRX5694378,-2.384512354,-0.31765341210000003,-0.5006761838
SRX5694379,-2.4487253709,-0.25011430100000004,-0.2285719789
SRX5694380,-0.4117959262,-0.8373204843000001,0.1261078601
SRX5694381,4.202573987,-1.2728116676,1.5005765341
SRX5694382,0.9703821920000001,-0.025511662,0.49058279860000004
SRX5694383,-0.6172757343,0.1480773849,-0.5617845917000001
SRX5694384,-0.1406312878,0.1439389809,0.28859365800000003
SRX5694385,-0.1438237177,0.0779751018,0.49805841980000004
SRX5694386,1.3942297153,-2.8414442095,-0.7357423173000001
SRX5694387,-0.9649199237,0.0426535923,0.1905704846
SRX5694388,0.9086676129000001,-1.6022828696,0.4894669426
SRX5694389,-0.9508790838000001,-0.0800003088,0.0464077509
SRX5694390,-1.075096441,0.0001683552,-0.1638455209
SRX5694391,-2.242364089,0.1315329539,0.2652531168
SRX5694392,-0.0337586457,-0.1486598298,-0.0643523617
SRX5694393,0.9917607602,0.232671539,0.4487898696
SRX5694394,-0.7564993670000001,0.2168248136,-0.1239980744
SRX5694395,1.5755387707000001,-0.3791651303,1.3081476157
SRX5694396,1.4097757814,-0.8353134788000001,1.4076040301
SRX5694397,2.2050576954,-0.0202364792,-0.5370945714
SRX5694398,-0.4312785912,-0.0607073754,-0.6547982996
SRX5694399,1.7562904269000001,-0.2527744328,0.44247998860000004
SRX5694400,-1.4622889243000001,-0.1981004934,-0.6125086075
SRX5694401,-0.4160556923,-0.021523506600000002,-0.20422094540000002
SRX5694402,2.064255122,-2.6700349591,-0.9583442195
SRX5694403,1.7807944770000002,-0.9103162108,0.1071730481
SRX5694404,-0.136474964,0.0943710534,-0.3003964322
SRX5694405,0.5834277289,-0.1829334597,0.2357032725
SRX5694406,-1.7003915833,-0.3972091841,0.0693949259
SRX5694407,-0.5771004119,-0.2638287498,0.0371632972
SRX5694408,-2.1535415201,0.0417388443,0.0265961863
SRX5694409,0.577727051,-2.2693012292,0.3036734732
SRX5694410,-1.2858331521,-0.1972134109,-0.4648872027
SRX5694411,1.3289165988,-0.8663395759,1.1538115976
SRX5694412,1.0728664379,0.1259657223,-0.9291934891
SRX5694413,-0.2681245183,-0.6476176532,-0.570691755
SRX5694414,4.5908688092,-1.42088019,1.6509193769000001
SRX5694415,-0.8079536595,0.007690172800000001,-0.1991500789
SRX5694416,-0.7373783198,0.0575483496,0.0154779333
SRX5694417,0.5218249639,0.2665585241,0.3500808745
SRX5694418,0.6068208136000001,-1.9463157999,-0.0752501554
SRX5694419,0.7578680245,-1.5689931018,0.1823640506
SRX5694420,0.5064441037,-0.0638843971,0.22165850820000002
SRX5694421,-1.0661413149,-0.6176702001000001,0.3020195341
SRX5694422,-0.8325768297,-0.058214080700000004,0.097195029
SRX5694423,-0.7024656377,-0.3208467193,-0.2056130554
SRX5694424,-2.1465974805,-0.3043319677,-0.3920706658
SRX5694425,-1.1307820811,0.2263080572,-0.5587581914
SRX5694426,-1.2558076251,-0.6604587882,0.1130672716
SRX5694427,-1.3866117339000001,0.1652363888,0.16881575040000002
SRX5694428,-0.7916610104,0.073808526,-0.6207653771
SRX5694429,2.9565231186,-1.4421129371,1.4680549083
SRX5694430,-0.9467105528,0.0124821121,-0.0448960912
SRX5694431,1.196164523,-0.0624036472,1.2286839221
SRX5694432,-1.0658422835999999,-0.3304413054,-0.4490090364
SRX5694433,0.3317720093,-0.8187488844,-0.7208105544000001
SRX5694434,0.45021776100000005,-0.6212632720000001,0.3947796242
SRX5694435,1.1539889564,-2.0377494386,0.2956843415
SRX5694436,1.7905625115000001,-2.3919325405,0.42789014810000003
SRX5694437,0.9506007538000001,-0.2507206522,0.8442368139
SRX5694438,-0.9943507482,0.07346573220000001,-0.3721850478
