,yhfP
Cr_1,0.020030790325921064
Cr_2,0.032578021289992154
Cr_3,0.03390746046728118
Cr_4,0.07091001152227601
Cr_5,0.11538364834048224
Cr_6,0.15439490455821264
Fe_1,-0.019705092209903442
Fe_2,-0.03614141047072049
Fe_3,-0.038656149056543916
Fe_4,-0.027104304794438445
Fe_5,-0.016797861162029408
Fe_6,-0.013688114508988672
Cd_1,0.21493766979809167
Cd_2,0.2796327630863712
Cd_3,0.2944148063306914
Cd_4,0.3223686561741012
Cd_5,0.3457862904852036
Cd_6,0.39534154163411617
Zn_1,-0.010040462285656778
Zn_2,-0.02071978190718389
Zn_3,-0.01717182548625389
Zn_4,-0.011339814593659065
Zn_5,-0.0017013990464566113
Zn_6,0.002953246521176461
Cu_1,0.00964277975734598
Cu_2,0.017035082487120153
Cu_3,0.021022376368408917
Cu_4,0.060455978797092726
Cu_5,0.07534174368321954
Cu_6,0.0995467185166623
Pb_1,-0.2281425347056304
Pb_2,-0.2488108268610983
Pb_3,-0.2274577371736371
Pb_4,-0.12069908001039364
Pb_5,-0.0872040340279706
Pb_6,4.6653058392741205
