gene_id,USA300HOU_RS00950
name,sfP
operon,sfP
product,4'-phosphopantetheinyl transferase
cog,Coenzyme transport and metabolism
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN001019000"">AureoWiki</a>"
