,glpE
Cr_1,0.0002764914281249685
Cr_2,0.001127765351147552
Cr_3,0.002585703052313395
Cr_4,0.0033857522137354487
Cr_5,0.003221351623651541
Cr_6,0.003973974260610887
Fe_1,-0.008177377545316453
Fe_2,-0.0201329602515348
Fe_3,-0.0345173165436574
Fe_4,-0.049904690206953525
Fe_5,-0.0603706280436884
Fe_6,-0.06998608481267958
Cd_1,-0.0034777310450795624
Cd_2,-0.004836297352988085
Cd_3,-0.0018376829410045878
Cd_4,-0.0007905521253426527
Cd_5,-0.0046901100401843115
Cd_6,-0.0029691560049862147
Zn_1,-0.003841721196460457
Zn_2,-0.011350360416684692
Zn_3,-0.013542924173383129
Zn_4,-0.008403950228690327
Zn_5,-0.0044295049356416856
Zn_6,-0.0028087645375019852
Cu_1,0.0051192300450420575
Cu_2,0.007864714763707198
Cu_3,0.014769038677583196
Cu_4,0.021985425382134976
Cu_5,0.02865330960153781
Cu_6,0.036665845237133066
Pb_1,0.00975896676335988
Pb_2,0.021545874653296392
Pb_3,0.0330010193318023
Pb_4,0.046837878134460637
Pb_5,0.06194161911541408
Pb_6,0.08044850378780022
