,ygdR
Cr_1,0.0018701349668642452
Cr_2,0.0017362419839945698
Cr_3,0.002172044173481875
Cr_4,0.002994082019611744
Cr_5,0.0029036541484233503
Cr_6,0.00448019432694096
Fe_1,-0.014075753395200022
Fe_2,-0.045483756522688434
Fe_3,-0.07689479215620804
Fe_4,-0.11021777549244907
Fe_5,-0.13484799715910675
Fe_6,-0.14943160743167114
Cd_1,0.004463797270381871
Cd_2,0.007930114411167739
Cd_3,0.00983922868545761
Cd_4,0.012050786553207604
Cd_5,0.01008804734682511
Cd_6,0.012831347700654055
Zn_1,-0.0034067686843677033
Zn_2,-0.004762026531023257
Zn_3,-0.008262855690564291
Zn_4,-0.01234649914585796
Zn_5,-0.01261332898582642
Zn_6,-0.010343984740832065
Cu_1,0.003299242563030822
Cu_2,0.002877259508914505
Cu_3,0.0062853212794857114
Cu_4,0.006703261739719761
Cu_5,0.006677120778506724
Cu_6,0.0051776134025850115
Pb_1,0.0018463789842533746
Pb_2,0.006540352053589644
Pb_3,0.009866046895853912
Pb_4,0.018246013605458914
Pb_5,0.024536881415610102
Pb_6,0.030548825788574107
