,yagE
Cr_1,0.008131777201632152
Cr_2,-0.0002595376352084414
Cr_3,-0.0007923173435333156
Cr_4,0.0011612604743885535
Cr_5,-0.0007248889408808098
Cr_6,-0.015898628511904274
Fe_1,-0.02467813662030516
Fe_2,-0.05051255547863921
Fe_3,-0.10676802284608
Fe_4,-0.17042406360414974
Fe_5,-0.2288438538055245
Fe_6,-0.282325131810898
Cd_1,0.009831637647902848
Cd_2,0.020869831146975087
Cd_3,0.03148074088912271
Cd_4,0.02414610972767246
Cd_5,0.022541734820899623
Cd_6,0.039649862124389486
Zn_1,-0.013140337749249718
Zn_2,-0.022803122733177517
Zn_3,-0.02339337662876976
Zn_4,-0.042729542792562
Zn_5,-0.032068034768082086
Zn_6,-0.030120582570948143
Cu_1,0.007725207174863756
Cu_2,0.0253047150047892
Cu_3,0.04388569788023782
Cu_4,0.07151892168811949
Cu_5,0.07863964375255676
Cu_6,0.08839401833323883
Pb_1,-0.000297236250440796
Pb_2,0.010323911378708295
Pb_3,0.02518128046586144
Pb_4,0.049644791814727994
Pb_5,0.06841896228862161
Pb_6,0.09164502485442276
