,lysA
Cr_1,-0.006597171874823615
Cr_2,-0.010240870669278477
Cr_3,-0.014398358793747937
Cr_4,-0.017848626375245258
Cr_5,-0.01999683541748769
Cr_6,-0.02469682582649835
Fe_1,-0.004401629775073532
Fe_2,-0.008210148888658116
Fe_3,-0.02032920724380527
Fe_4,-0.04648857747141432
Fe_5,-0.0505840055544337
Fe_6,-0.05301929091852557
Cd_1,0.005768631181524351
Cd_2,0.01650320476587063
Cd_3,0.027678290932879285
Cd_4,0.039113160962420686
Cd_5,0.044009955227692237
Cd_6,0.05164122691362631
Zn_1,0.0055844904608182274
Zn_2,0.04104602446344892
Zn_3,0.058564050529511434
Zn_4,0.06020972844703115
Zn_5,0.06840952621521047
Zn_6,0.07995724307910837
Cu_1,0.0007249961551544112
Cu_2,0.011579463544380776
Cu_3,0.023426179417283418
Cu_4,0.030829771427382077
Cu_5,0.037540220775970086
Cu_6,0.04791690102878906
Pb_1,-0.0004165758992362528
Pb_2,0.01052850980610538
Pb_3,0.02595168516009537
Pb_4,0.029163446858708243
Pb_5,0.03359219777456394
Pb_6,0.03371968170263246
