locus,gene_weight,gene_name,gene_product,cog,regulator,rcsA;rcsB,link
STM2109,0.21234462880000002,gmd,GDP-D-mannose dehydratase,Coenzyme transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2109
STM2108,0.2080884245,wcaG,bifunctional GDP fucose synthetase,Carbohydrate transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2108
STM2106,0.1914894759,wcaI,putative glycosyl transferase,Carbohydrate transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2106
STM2105,0.19070404470000002,manC,mannose-1-phosphate,Cell wall/membrane/envelope biogenesis,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2105
STM2110,0.189175497,wcaF,putative acyltransferase,Function unknown,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2110
STM2117,0.1859127026,wzb,putative protein-tyrosine-phosphatase,Signal transduction mechanisms,"nac,rcsA;rcsB,rpoD,rpoE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2117
STM4222,0.1773905731,yjbE,putative outer membrane protein,No COG annotation,"ihf,rcsA;rcsB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4222
STM2104,0.16858261160000002,cpsG,phosphomannomutase,Carbohydrate transport and metabolism,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2104
STM2118,0.1685809389,wza,putative polysaccharide export protein,Cell wall/membrane/envelope biogenesis,"nac,rcsA;rcsB,rpoD,rpoE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2118
STM2111,0.1487840093,wcaE,putative transferase,Function unknown,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2111
STM2116,0.1357843689,wzc,putative tyrosine-protein kinase,"Cell cycle control, cell division, chromosome partitioning","nac,rcsA;rcsB,rpoD,rpoE",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2116
STM2114,0.1355145159,wcaB,putative acyl transferase,Amino acid transport and metabolism,"rcsA;rcsB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2114
STM4224,0.1295468223,yjbG,putative periplasmic protein,Function unknown,"ihf,rcsA;rcsB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4224
STM2112,0.1284444108,wcaD,putative colanic acid polymerase,Function unknown,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2112
STM2115,0.1268258796,wcaA,putative glycosyl transferase,Cell wall/membrane/envelope biogenesis,"rcsA;rcsB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2115
STM4223,0.1257426905,yjbF,putative outer membrane lipoprotein,Cell wall/membrane/envelope biogenesis,"ihf,rcsA;rcsB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM4223
STM2101,0.1230492091,wcaK,putative galactokinase,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2101
STM2801,0.121939922,ygaC,putative cytoplasmic protein,Function unknown,fur,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2801
STM2103,0.1196378988,wcaJ,putative UDP-glucose lipid carrier transferase,Cell wall/membrane/envelope biogenesis,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2103
STM2102,0.11022799999999999,wzxC,putative export protein,Function unknown,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2102
STM2113,0.1047181742,wcaC,putative glycosyl transferase,Cell wall/membrane/envelope biogenesis,nac,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2113
STM2100,0.1028495583,wcaL,putative glycosyl transferase,Cell wall/membrane/envelope biogenesis,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2100
STM1982,0.10176233550000001,rcsA,positive transcriptional regulator of capsular/exo- polysaccharide synthesis (LuxR/UhpA family),Transcription,"gadE,h-NS,rcsA;rcsB,rpoD",True,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM1982
STM2099,0.084916224,wcaM,putative colanic acid biosynthesis protein,Function unknown,,False,https://salmonella.biocyc.org/gene?orgid=SENT99287&id=STM2099
