,PSPTO_RS13165
SRX1828913,-0.0634656951
SRX1828914,0.35287413030000003
SRX1828915,0.39274012950000003
SRX1828916,0.6609803595
SRX1828917,-0.32927443440000004
SRX1828918,1.1270721658
SRX3983989,1.1939727796
SRX3983990,-0.6435831228000001
SRX3983993,0.39638097780000003
SRX3983994,0.44289256320000003
SRX3983995,0.7992772485
SRX3983996,0.40963812450000003
SRX3983997,0.5243344416
SRX3983998,0.5949975946
SRX3983999,0.6562022942
SRX3984000,0.6386937848
SRX3984001,0.8892007684000001
SRX3984002,0.24726488270000002
SRX3984003,0.2390014132
SRX3984004,0.3717144059
SRX3984005,0.08460056290000001
SRX3984006,0.38912542450000004
SRX3984007,0.39498822370000003
SRX3984008,0.0686785688
SRX3984009,0.462004491
SRX3984010,0.5652549866000001
SRX3984011,0.4026425152
SRX3984012,0.13015154610000002
SRX3984013,0.6401117371
SRX3984014,0.3026710683
SRX3984015,-0.1544245388
SRX3984016,0.1421504288
SRX3984017,0.7708995735
SRX3984019,-0.1876119644
SRX3984020,0.0690658895
SRX3984021,1.009674039
SRX3984022,0.7709318621
SRX3984023,-0.1609156173
SRX3984024,0.7356038916000001
SRX3984025,0.2426118902
SRX3984026,0.7723533275000001
SRX3984027,0.42189756380000004
SRX3984028,0.0441422458
SRX3984029,0.6241042623
SRX3984031,0.8772213327
SRX3984032,0.5060562343
SRX3984034,0.2485956386
SRX3984035,-0.9336242809
SRX3984036,0.0250925343
SRX3984037,0.7146676693
SRX3984038,0.0462735325
SRX3984039,0.8955818311
SRX3984040,1.0744550538
SRX3984041,0.7228818771000001
SRX3984042,0.18524722300000002
SRX3984043,0.5817135156000001
SRX3984045,-0.0936685354
SRX3984046,-0.0881896333
SRX3984047,0.4029381751
SRX3984048,-0.11436216040000001
SRX3984049,-0.0346407038
SRX3984050,-0.1068910832
SRX3984051,0.8010536709
SRX3984052,1.2585112712
SRX3984056,0.5371528098
SRX3984057,0.7354973504
SRX3984058,0.3494402696
SRX3984059,0.5005666469
SRX3984061,-0.12514999400000001
SRX3984062,0.2544483024
SRX3984063,0.06456303840000001
SRX3984064,-0.0162832151
SRX3984065,0.6620551296
SRX3984066,0.8421580055000001
SRX3984067,-0.1261700417
SRX3984068,0.3290941524
SRX3984069,-0.1898427762
SRX3984070,0.2927614727
SRX3984071,0.1959439199
SRX3984073,0.6539300599
SRX3984074,0.8833117896
SRX3984077,-0.5784138492
SRX3984078,-0.1494057816
SRX3984079,0.9302387595
SRX3984080,0.0005096121
