,ybhE
Cr_1,-0.002696749429319337
Cr_2,-0.004245296132889311
Cr_3,-0.0021967344338058546
Cr_4,0.00399676127408761
Cr_5,0.009383552701162144
Cr_6,0.017377958747797653
Fe_1,-0.008180824778651202
Fe_2,-0.030404398832842718
Fe_3,-0.05754553575275655
Fe_4,-0.08880256487663564
Fe_5,-0.11070986465455776
Fe_6,-0.126153505694001
Cd_1,0.0017367713294917581
Cd_2,-0.00024928372923751363
Cd_3,0.0012326433312310375
Cd_4,0.005586904542457873
Cd_5,0.0038511475908056397
Cd_6,0.00869930434571573
Zn_1,-0.0041830260519097355
Zn_2,-0.007789676023620259
Zn_3,-0.005410660087814455
Zn_4,-0.0003077914964329812
Zn_5,0.005950398114159292
Zn_6,0.008650513894305191
Cu_1,0.0008586883242434822
Cu_2,0.0015022698243188778
Cu_3,0.00591551517215826
Cu_4,0.005460350862500634
Cu_5,0.00780383821796569
Cu_6,0.007888934053929346
Pb_1,0.007312225925939652
Pb_2,0.013803929084000535
Pb_3,0.02054436836459348
Pb_4,0.03096852081665025
Pb_5,0.04185059413495067
Pb_6,0.05761877615666569
