,ynfE
Cr_1,-0.0074024686257955375
Cr_2,0.018560990111532272
Cr_3,0.037382543171432886
Cr_4,0.044067334312032615
Cr_5,0.06286353961767797
Cr_6,0.0722562799329224
Fe_1,-0.18529466386174956
Fe_2,-0.05177304556367214
Fe_3,-0.10116010907053316
Fe_4,-0.1330873360593262
Fe_5,-0.12411017081111765
Fe_6,-0.11242840304885696
Cd_1,0.008380868007383684
Cd_2,0.016562357768012837
Cd_3,0.020269667017166197
Cd_4,0.02657937970729073
Cd_5,0.02714126521563373
Cd_6,0.02719502077925438
Zn_1,-0.00019609303550515187
Zn_2,-0.013673329319604785
Zn_3,-0.007512430274300571
Zn_4,-0.002299748666705388
Zn_5,-0.004208600295979624
Zn_6,-0.002704141127832916
Cu_1,-0.002102087429645087
Cu_2,0.0016362967352156813
Cu_3,0.01162640205302878
Cu_4,0.01210359709971611
Cu_5,0.013209926018982266
Cu_6,0.014382306723561653
Pb_1,-0.015373382384804403
Pb_2,-0.016022006046355404
Pb_3,-0.008668616705364486
Pb_4,0.007578565529187553
Pb_5,0.015142538600487181
Pb_6,0.03162025527857363
