,A,NagC,TyrR
R2,,0.37403584819042657,0.013049084844754422
xmin,,6.1417376892,6.4443454105
xmid,,7.964660506518163,
xmax,,9.9398068798,8.2771203244
ystart,,2.041885354965004,3.204467308791915
yend,,20.934208219273245,1.4821141079215865
control__wt_glc__1,0.1030145963,7.2128843589,7.1904349098
control__wt_glc__2,-0.1030145963,7.4190867646,7.3160232245
fur__wt_dpd__1,-0.1280147704,7.7089416086,7.300353939
fur__wt_dpd__2,0.0389205793,7.7556924108,7.2473129348
fur__wt_fe__1,0.4872849748,7.1764673839,6.8740000904
fur__wt_fe__2,0.6222181409,7.2120606174,6.9394743777
fur__delfur_dpd__1,-0.1108419103,7.5824967791999995,7.5609536759000004
fur__delfur_dpd__2,-0.47425935960000004,7.5640191901,7.3809134553
fur__delfur_fe2__1,0.9597368814,7.4503235262,7.021852525
fur__delfur_fe2__2,0.8659285515,7.4033979833,7.1483384521
acid__wt_ph5__1,-0.4981498412,7.6938981104,7.585976222
acid__wt_ph5__2,0.0712683763,7.6524779581,7.5426842675
acid__delgadx_ph5__1,-0.42832970200000003,7.6443077091,7.5384230438
acid__delgadx_ph5__2,-0.7026956635,7.7206637087,7.3506389222
acid__delgadw_ph5__1,-0.3759094375,7.6152977654,7.3598047706
acid__delgadw_ph5__2,0.2188158459,7.7061755945,7.4871682873
acid__delgade_ph5__1,-0.20375847960000001,7.6396354398,7.5294689887
acid__delgade_ph5__2,-0.3688932025,7.6580982702,7.6592512065000005
oxidative__wt_pq__1,2.4396586161,7.9206796872,7.7775853932
oxidative__wt_pq__2,2.8326725819,8.0512197871,7.9695052855
oxidative__deloxyr_pq__1,0.8421558173,7.5496748559,7.7283924864
oxidative__deloxyr_pq__2,0.8683575244,7.6012588861,7.7130461891
oxidative__delsoxr_pq__1,2.6147797225,8.0954276154,7.7962082622
oxidative__delsoxr_pq__2,2.6349075025,8.1308950034,7.8176804876
oxidative__delsoxs_pq__1,1.8731995585,8.1191440144,8.0154787357
oxidative__delsoxs_pq__2,2.0735294755,8.1207995814,8.1028249913
nac_ntrc__wt_csn__1,0.397497347,7.4641406725,7.5326348005
nac_ntrc__wt_csn__2,0.4023138383,7.5174602447000005,7.6679761542
nac_ntrc__wt_cytd__1,1.4186412561,7.7653451142000005,7.4413364658
nac_ntrc__wt_cytd__2,1.8853823539,7.5652416402,7.4542476825
nac_ntrc__wt_gln__1,1.3665380816,7.7092425813,7.6303435593
nac_ntrc__wt_gln__2,1.2520844236,7.5066521114,7.7330062537
nac_ntrc__bw_delnac_csn__1,0.7866657783000001,7.629779976,7.7772466961
nac_ntrc__bw_delnac_csn__2,0.2345239651,7.6444828178,8.0468056973
nac_ntrc__bw_delnac_cytd__1,0.9130287836000001,7.7061912726,7.7281092599
nac_ntrc__bw_delnac_cytd__2,0.7663139752,7.6871216159,7.6209476705
nac_ntrc__bw_delnac_gln__1,1.1060909848,7.7686960588,7.7910540361
nac_ntrc__bw_delnac_gln__2,1.1022026058,7.7619608385,7.8044142924
nac_ntrc__bw_delnac_nh4__1,0.8525880444,7.4131054335,7.450600944
nac_ntrc__bw_delnac_nh4__2,0.9640491186000001,7.4335784532,7.3744606936
misc__wt_no_te__1,1.4512480425,7.8788271578,7.7358955996
misc__wt_no_te__2,1.1796924825,7.7671105914,7.6112976192
misc__bw_delcbl__1,0.1782897218,7.4372835283,7.21798561
misc__bw_delcbl__2,0.1503331639,7.4597992822,7.3871736668
misc__bw_delfabr__1,0.28018837900000004,7.4031190134,7.2293364777
misc__bw_delfabr__2,0.2954467115,7.437893005,7.2236731911
misc__bw_delfadr__1,0.34019346100000003,7.359286155,7.3675702603
misc__bw_delfadr__2,0.5633667255,7.3750141118,7.3227861050000005
misc__nitr_031__1,-0.8664488609000001,7.6425857941,7.7483321512
omics__wt_glu__1,0.1766089293,7.7884358573,6.5448447765
omics__wt_glu__2,0.47359998070000003,7.8640614408000005,6.7185133755
omics__wt_gly__1,1.4983373903000001,7.4923990396,6.7762641648
omics__wt_gly__2,0.4217662435,7.4419117124,6.6731033175
omics__wt_thr__1,3.2039072784,8.1822908753,7.3203805794
omics__wt_thr__2,2.7050604422999998,8.1563920175,7.3168507999
omics__bw_ac__1,5.1556086421,7.3323650589,7.1986188923
omics__bw_ac__2,5.3443122494,7.4221322336,7.150536171
omics__bw_fum__1,3.2029256981,7.3608552674,7.0321525406
omics__bw_fum__2,3.9663852767,7.2451679601,6.9111700408
omics__bw_glc__1,0.0819440663,7.5791129724,7.1626133235000005
omics__bw_glc__2,0.2869281405,7.6022612415,7.1338746346
omics__bw_pyr__1,3.1456690655,7.5490197924,7.1146363912
omics__bw_pyr__2,3.0741568615,7.5162792601,7.1849926577
ompr__wt_nacl__1,1.3399405243,7.9375893763,7.8735006398
ompr__wt_nacl__2,0.8249030215,7.9739670796,7.7381740876
ompr__bw_delompr_nacl__1,0.7632704239,7.4719921571,7.4872834314
ompr__bw_delompr_nacl__2,0.2359981039,7.538052689,7.5459764743
minspan__wt_ade__1,2.6495235071,6.8934160514,7.207822132
minspan__wt_glc__1,0.9923058643,6.8729672964,6.9155641724
minspan__wt_glc__2,1.1848776821,7.0280494522,7.0212260024
minspan__wt_glc__3,1.6103279943,7.1472935981,6.9989407736
minspan__wt_glc__4,1.6967324208,7.2650601267,7.1054543806
minspan__wt_glc_anaero__1,1.6969432996,7.6571895941,7.4483122272
minspan__wt_glc_anaero__2,2.578327808,7.6401317697,7.5762083008
minspan__wt_trp__1,4.9250220396,7.2873608554,7.5933482746
minspan__bw_delcra_glc__1,3.8748928257,7.2863895522,7.7149927933
minspan__bw_delcra_glc__2,3.6180379018,7.265621877,7.7823370191
minspan__bw_delcra_trp__1,5.8614062388,7.1695489822,7.8131262921
minspan__bw_delmntr__1,2.1638276361,7.6324451767,7.7658355132
minspan__bw_delnac_ade__1,3.021898329,7.1472332301,7.1774886018
minspan__bw_delnac_glc__1,2.1700964558,7.1622734773,7.0268032217
cra_crp__wt_ac__1,5.0561819415,7.7025714821,6.6338553118
cra_crp__wt_ac__2,5.0311923929,7.418469575,6.5532671516
cra_crp__wt_fru__1,3.3610199047,7.6173613199,6.5148952051
cra_crp__wt_fru__2,3.162355733,7.8310272481,6.685523829
cra_crp__delcra_ac__1,1.0876231242,7.6797003416,7.585882646
cra_crp__delcra_ac__2,1.0252604536,7.6237284722,7.5984973043
cra_crp__delcra_fru__1,-0.09385992060000001,7.5068934427,7.6097630426
cra_crp__delcra_fru__2,-0.4013534985,7.6243634031,7.5394033187
cra_crp__delcra_glc__1,0.0988911256,7.4328121452,7.3600093233
cra_crp__delcra_glc__2,0.1060824786,7.3887606716,7.4214276986
rpoB__wt_031__1,3.7588549973000003,7.4154807044,7.268995736
rpoB__wt_044__1,0.7221304698000001,7.519654917,7.3290069972
rpoB__wt_lb__1,6.7712922967,7.5685450701,7.3314807182
rpoB__wt_lb__2,6.5336221915,7.327313475,7.3711052834
rpoB__rpoBE546V_031__1,3.7822474205,7.1471310336,7.4909699731
rpoB__rpoBE546V_044__1,3.0653256585,6.8774494123,7.5364249772
rpoB__rpoBE546V_lb__1,6.7287006915,7.4007648144000004,7.5575573361
rpoB__rpoBE546V_lb__2,7.1857713915,7.4654520713,7.6560140154
rpoB__rpoBE546V_glc__1,2.2194615993,7.2024443369,7.1250688067
rpoB__rpoBE672K_glc__1,2.8429738598,6.9137317668,7.1713691386
rpoB__rpoBE672K_glc__2,3.5900894908,6.9790495703,6.9863185615
rpoB__rpoBE672K_lb__1,6.7619756959,6.7989399658,7.1818676208
rpoB__rpoBE672K_lb__2,6.5209563845,6.8214841263,7.148266725
crp__wt_fru__1,3.907667233,7.1751424925,6.8806818806
crp__wt_glyc__1,4.0150409213,7.0198329281,6.876442475
crp__wt_glyc__2,3.5111825642,7.0173785057,6.8028276963
crp__delar1_glyc__1,0.5532459012000001,8.0021682481,8.0609901187
crp__delar1_glyc__2,0.6867129908,8.0802002312,8.1505139538
crp__delar1ar2_glyc__1,-0.228947179,7.5671322731,7.4502935623
crp__delar1ar2_glyc__2,-0.8938824276,7.6177966889,7.5315164397
crp__delar1ar2_glyc__3,-0.2874167817,7.5877422203,7.5669305863
crp__delar2_glyc__1,3.9922455664000003,7.1762348645,7.7482299577
crp__delar2_glyc__2,4.038008316,7.2572685466,7.6404604553
crp__delar2_glyc__3,4.2858418957,7.4838339631,7.6301737508
crp__delcrp_fru__1,-0.3543783089,7.4190454529,7.8745916921
crp__delcrp_fru__2,0.1753064182,7.3340489019,7.8147253742
crp__delcrp_fru__3,-0.4603428511,7.5172742169,7.9275965573
crp__delcrp_glc__1,-1.2054592816,7.6068257117,7.8285668973
crp__delcrp_glc__2,-1.118118813,7.591147545,7.8081241616
crp__delcrp_glc__3,-1.0874002113,7.6884592183,7.9138528909
crp__delcrp_glyc__1,-0.5241328291,7.6181480559,7.7383583118
crp__delcrp_glyc__2,-0.5698739184,7.5726986315,7.7681141038
crp__delcrp_glyc__3,-0.3746763225,7.626156809,7.8217336725
glu__glu_ale3__1,2.7183226741,6.1417376892,8.0009345197
glu__glu_ale4__1,1.2543702051,7.1170712249,7.1307750972
glu__glu_ale5__1,3.185931317,7.1036232688,6.8428594031
glu__glu_ale6__1,1.1608044712,6.8385442145,6.8918115463
glu__glu_ale8__1,1.5213874313,7.6524540805,8.2211290392
glu__glu_ale9__1,3.1566146542,7.6172437507,7.7199308278
glu__glu_ale10__1,2.0604292394,6.2285522714,7.8891547409000005
