,Value,list
TF,nagC/tyrR,
reg_genes,49,"['feoA' 'ptsH' 'dinI' 'chbA' 'yaiA' 'umpH' 'feoC' 'tyrB' 'ptsI' 'creC'
 'creB' 'manY' 'chbG' 'creD' 'nagC' 'nanS' 'manZ' 'ydeP' 'folA' 'aroM'
 'feoB' 'nanM' 'nanC' 'chiQ' 'aroL' 'aroG' 'tyrA' 'crr' 'manX' 'tyrR'
 'aroF' 'fimB' 'creA']"
comp_genes,17,['dtpA']
both_genes,16,"['chbR' 'ydeM' 'chiP' 'aroP' 'mtr' 'chbF' 'galP' 'nagA' 'nagE' 'chbB'
 'glmS' 'ydeN' 'tyrP' 'glmU' 'nagB' 'chbC']"
reg_genes2,0,
comp_genes2,0,
both_genes2,0,
reg_ops,24,
comp_ops,11,
both_ops,10,
