,PN96_RS19475
SBRG_BHIN_Growth_Late_1,-0.6164736655
SBRG_BHIN_Growth_Late_2,-0.6639896855
SBRG_BHIN_Growth_Mid_1,0.3591731935
SBRG_BHIN_Growth_Mid_2,-0.5121705375
SBRG_BHIN_Growth_Stat_1,0.1207675385
SBRG_BHIN_Growth_Stat_2,-0.4750412954999999
SBRG_LBv2_Growth_Late_1,-0.5301953145
SBRG_LBv2_Growth_Late_2,-0.0014420484999999
SBRG_LBv2_Growth_Mid_1,0.2869880025
SBRG_LBv2_Growth_Mid_2,-0.2869880025
SBRG_LBv2_Growth_Stat_1,-1.2432840665
SBRG_LBv2_Growth_Stat_2,-1.1868652215
SBRG_MHB_Rich_Mid_1,-0.4713723785
SBRG_MHB_Rich_Mid_2,-0.5429645855
SBRG_NBO_Rich_Mid_1,-0.0874199614999999
SBRG_NBO_Rich_Mid_2,0.2237247094999999
SBRG_M9Na_Arabinose_Mid_1,-0.1041493660000001
SBRG_M9Na_Arabinose_Mid_2,-0.3147722480000001
SBRG_M9Na_Galactose_Mid_1,-0.7915223680000001
SBRG_M9Na_Galactose_Mid_2,0.4106473559999997
SBRG_M9Na_GlcNAcGrowth_Late_1,-0.1768067420000001
SBRG_M9Na_GlcNAcGrowth_Late_2,0.1030251649999998
SBRG_M9Na_GlcNAcGrowth_Mid_1,-0.0117211490000002
SBRG_M9Na_GlcNAcGrowth_Mid_2,0.1029223969999999
SBRG_M9Na_GlcNAcGrowth_Stat_1,-1.2485020850000002
SBRG_M9Na_GlcNAcGrowth_Stat_2,-1.0041521160000002
SBRG_M9Na_GlcNAc_Mid_1,-0.154705775
SBRG_M9Na_GlcNAc_Mid_2,-0.5281899090000002
SBRG_M9Na_Gluconate_Mid_1,-0.938773718
SBRG_M9Na_Gluconate_Mid_2,-1.636258251
SBRG_M9Na_Glucosamine_Mid_1,-0.7240987940000001
SBRG_M9Na_Glucosamine_Mid_2,-0.622335123
SBRG_M9Na_Glycerol_Mid_1,-0.4457880740000002
SBRG_M9Na_Glycerol_Mid_2,-1.341515641
SBRG_M9Na_Maltose_Mid_1,-0.3051807400000002
SBRG_M9Na_Maltose_Mid_2,-0.137208983
SBRG_M9Na_Mannitol_Mid_1,-0.0745682040000002
SBRG_M9Na_Mannitol_Mid_2,-0.2567958410000002
SBRG_M9Na_Trehalose_Mid_1,-0.7334883590000001
SBRG_M9Na_Trehalose_Mid_2,0.0240230739999998
SBRG_M9Na_ethanol_Mid_1,-1.636258251
SBRG_M9Na_ethanol_Mid_2,-0.312794081
SBRG_M9Na_fructose_Mid_1,-0.1440689260000001
SBRG_M9Na_fructose_Mid_2,0.1696738199999998
SBRG_M9Na_fumarate_Mid_1,-0.5749658290000002
SBRG_M9Na_fumarate_Mid_2,0.0567146489999998
SBRG_M9Na_glucoseGrowth_Late_1,0.4152214279999997
SBRG_M9Na_glucoseGrowth_Late_2,-0.385733533
SBRG_M9Na_glucoseGrowth_Mid_1,0.196544163
SBRG_M9Na_glucoseGrowth_Mid_2,-0.1965441630000002
SBRG_M9Na_glucoseGrowth_Stat_1,-0.312095373
