,-0.06279764245414332,-0.05023811396331466,-0.037678585472485995,-0.025119056981657333,-0.01255952849082867,0.0,0.012559528490828656,0.02511905698165731,0.03767858547248598,0.05023811396331465,0.06279764245414332,0.07535717094497196,0.08791669943580063,0.1004762279266293,0.11303575641745794,0.12559528490828661,0.13815481339911528,0.15071434188994395,0.16327387038077262,0.17583339887160127
thresh,-0.06907740669955766,0.06907740669955766,1,,,,,,,,,,,,,,,,,
unreg,0,2,12,125,1327,3026,836,140,43,11,11,8,5,4,5,3,3,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],['PP_5596' 'PP_3261' 'ybhN' 'csbD' 'oprH' 'ybhP-I' 'ligD' 'PP_2052'],['PP_0135' 'PP_5560' 'katE' 'osmC' 'PP_1833'],['PP_0871' 'PP_3266' 'PP_4856' 'PP_0085'],['PP_4855' 'PP_3262' 'yehX' 'PP_0870' 'PP_4738'],['PP_1749' 'PP_1748' 'PP_1503'],['PP_1502' 'yehW' 'asnB'],['PP_5592' 'PP_3241' 'PP_4707'],[],[]
