,PSPTO_3501
SRX1828913,-0.0478451755
SRX1828914,-0.3725996609
SRX1828915,0.11123046110000001
SRX1828916,-0.053388492
SRX1828917,-0.06338528560000001
SRX1828918,-0.6444709429000001
SRX3983989,1.0723789161
SRX3983990,-0.20388408560000001
SRX3983993,-0.9414028022
SRX3983994,-1.1322612378999999
SRX3983995,0.5969787707
SRX3983996,-1.2910125244000001
SRX3983997,-0.6861706908
SRX3983998,0.5904705002
SRX3983999,0.6407151204
SRX3984000,0.9927616166000001
SRX3984001,-0.6377716793
SRX3984002,-0.7965944446000001
SRX3984003,0.08078437740000001
SRX3984004,0.5730165714000001
SRX3984005,1.1400576191
SRX3984006,0.0132213904
SRX3984007,-1.3080144496
SRX3984008,0.9137073891
SRX3984009,0.3262281117
SRX3984010,0.35158826990000003
SRX3984011,0.525209873
SRX3984012,0.4425451234
SRX3984013,0.3469857657
SRX3984014,0.5011680114
SRX3984015,-0.21115297460000002
SRX3984016,0.4549692521
SRX3984017,0.28537598410000004
SRX3984019,0.046707828800000004
SRX3984020,0.0394755368
SRX3984021,-0.2966590719
SRX3984022,-0.07845322240000001
SRX3984023,0.1021396814
SRX3984024,0.8140700534
SRX3984025,0.6793469603000001
SRX3984026,1.2338311633
SRX3984027,0.9350118681
SRX3984028,0.9565306042
SRX3984029,0.8858299684000001
SRX3984031,-0.45205952650000003
SRX3984032,-0.36947875700000005
SRX3984034,-0.040377667900000004
SRX3984035,-1.9814167829
SRX3984036,0.1266139097
SRX3984037,0.1416933778
SRX3984038,0.2618823215
SRX3984039,0.1662930756
SRX3984040,0.9947305887000001
SRX3984041,-0.0184979506
SRX3984042,-1.3252661756
SRX3984043,-1.8894162852
SRX3984045,0.3113147418
SRX3984046,0.0755597241
SRX3984047,0.10046080310000001
SRX3984048,-0.5138549477000001
SRX3984049,-0.6369612923
SRX3984050,-0.5326993309
SRX3984051,0.1820699042
SRX3984052,0.5604920344000001
SRX3984056,-0.6872417381
SRX3984057,-0.5434111995
SRX3984058,-0.4825908155
SRX3984059,0.6562012239
SRX3984061,0.3148814486
SRX3984062,0.5018439316000001
SRX3984063,0.4265610884
SRX3984064,0.3056562011
SRX3984065,0.5354164693
SRX3984066,0.3593080731
SRX3984067,0.2564409898
SRX3984068,0.48104628860000004
SRX3984069,-0.9688438531
SRX3984070,-0.2960305406
SRX3984071,-0.5724202474
SRX3984073,0.8019504709
SRX3984074,0.8439055419
SRX3984077,-0.19351689900000002
SRX3984078,-0.0523440944
SRX3984079,-0.6415931073000001
SRX3984080,-0.1373217376
SRX3984082,0.39079208460000003
SRX3984084,-0.4900257436
SRX6997963,0.0434215513
SRX6997964,-0.1473261153
SRX6997965,-0.3156783394
SRX6997967,0.1248469316
SRX6997968,0.11441198770000001
SRX6997969,-0.49906277390000003
SRX6997971,-0.16826848290000002
SRX6997972,-0.3460246772
SRX6997973,-0.5617332812
SRX3159100,0.1224213007
SRX3159101,-0.0011807361
SRX3159102,-0.10268432420000001
SRX3159103,-0.0185562405
SRX3159000,0.3141040505
SRX3159001,0.14721551830000001
SRX3159002,-0.031017076900000003
SRX3159003,-0.2572392584
SRX3159004,0.0890551327
SRX3159005,0.10950923030000001
SRX3159006,0.1108794865
SRX3159007,0.27696167780000003
SRX3159008,-0.047136666
SRX3159009,-0.1890122407
SRX3159010,0.4963111618
SRX3159012,-0.0200361972
SRX3159013,0.2661597394
SRX3159014,0.1761856372
SRX3159015,-0.0133454721
SRX3159016,-0.1843768024
SRX3159017,0.441642124
SRX3159018,0.2396766561
SRX3159019,0.0772461022
SRX3159020,0.1176100774
SRX3159021,-0.0270881619
SRX3159022,-0.2803951679
SRX3159023,0.1184282534
SRX3159024,0.2233114608
SRX3159025,-0.1639054084
SRX3159026,-0.3120889347
SRX3159027,0.11972522490000001
SRX3159028,-0.0056854571
SRX3159029,0.2260475412
SRX3159030,0.026270897300000002
SRX3159034,0.0756191721
SRX3159036,-0.1564270536
SRX3159037,-0.3339895679
SRX3159041,-0.30135668520000003
SRX3159042,-0.0010495319000000001
SRX3159043,-0.4583906009
SRX3159045,0.030735728
SRX3159047,-0.1763995414
SRX3159048,-0.126548824
SRX3159049,0.0144622397
SRX3159050,0.2150967536
SRX3159051,0.0879165293
SRX3159052,0.1399509392
SRX3159053,0.1808800025
SRX3159054,0.0988952453
SRX3159055,-0.029847031700000002
SRX3159056,0.4148374124
SRX3159057,0.38235073620000004
SRX3159058,-0.1158844435
SRX3159060,-0.0847577144
SRX3159061,-0.5186123945000001
SRX3159062,-0.036014584
SRX3159063,0.4369797186
SRX3159066,0.31522924350000003
SRX3159069,1.0792291579
SRX3159070,0.37870301780000004
SRX3159071,0.1739525191
SRX3159073,-0.1452950188
SRX3159074,0.09287572670000001
SRX3159075,0.0341325735
SRX3159076,0.1369974246
SRX3159080,0.17772823000000001
SRX3159082,0.1520974182
SRX3159083,-0.10332571460000001
SRX3159086,-0.2716381362
SRX3159087,0.6299775035
SRX3159088,-0.0086488945
SRX3159089,0.1714739063
SRX3159090,0.1718576336
SRX3159091,-0.0844069393
SRX3159092,0.0674881479
SRX3159093,0.12232629440000001
SRX3159094,-0.11703835300000001
SRX3159095,-0.2793111808
SRX3159096,-0.0909364002
SRX3159097,-0.5761825177000001
SRX3159098,-0.3757898959
SRX3159099,-0.105606476
SRX3158988,0.28961665810000004
SRX3158989,0.8107732129
SRX3158990,1.4159117471
SRX3158991,0.3709965868
