,ydcF
Cr_1,0.0022166470318944467
Cr_2,0.002677325899886147
Cr_3,0.008254833437363732
Cr_4,0.013408653058405684
Cr_5,0.01786024829395777
Cr_6,0.022675640581009432
Fe_1,0.00023847365421340665
Fe_2,-0.002171267944038395
Fe_3,-0.0017394319698928716
Fe_4,-0.005241042402329118
Fe_5,-0.008640347229869741
Fe_6,-0.009263294335308616
Cd_1,0.0030138794051547506
Cd_2,0.00656197398944224
Cd_3,0.011570536090780749
Cd_4,0.017774902298493184
Cd_5,0.01813682987589464
Cd_6,0.026139635497905742
Zn_1,-0.0011204363845400806
Zn_2,0.001470491466875466
Zn_3,0.0026116878528350904
Zn_4,0.0023533540166527085
Zn_5,-0.004177001382701478
Zn_6,-0.013558235355666215
Cu_1,0.0010740862735850027
Cu_2,0.004698585873047932
Cu_3,0.003892459479538117
Cu_4,0.0054621547058867
Cu_5,0.004311465455340692
Cu_6,0.006947299345482961
Pb_1,0.00020709184436707207
Pb_2,0.005315400628007364
Pb_3,0.00869472385447851
Pb_4,0.01610101694808654
Pb_5,0.02019568739478761
Pb_6,0.027639805544620203
