,nfrB
Cr_1,-0.020526751647258763
Cr_2,-0.028652828131476512
Cr_3,-0.04054584026864114
Cr_4,-0.053812122544604685
Cr_5,-0.05761694300047793
Cr_6,-0.0390860526539888
Fe_1,-0.01528086426255348
Fe_2,0.026074739377249048
Fe_3,1.0840691415548398
Fe_4,0.11792950866241413
Fe_5,0.2539609271884547
Fe_6,0.3771557368516865
Cd_1,0.0060797396879479215
Cd_2,0.005094079907500505
Cd_3,0.013016934852121673
Cd_4,0.03403836687915672
Cd_5,0.037551806823805135
Cd_6,0.05115094032773927
Zn_1,-0.003374720046748541
Zn_2,0.0012443450328743196
Zn_3,0.006074738413574568
Zn_4,0.026231453702798814
Zn_5,0.034307346014134016
Zn_6,0.036574214796822116
Cu_1,-0.008068986702341288
Cu_2,-0.02472412824594208
Cu_3,0.00720594253867755
Cu_4,0.027649523645545845
Cu_5,0.07536083092846042
Cu_6,0.08811390024387875
Pb_1,-0.013647296173364994
Pb_2,0.008633179757271193
Pb_3,-0.005626248047471373
Pb_4,0.012924313469192572
Pb_5,0.036012963950639305
Pb_6,0.046422398337249086
