,pinH
Cr_1,0.00011156451865312426
Cr_2,-0.0019255134648820363
Cr_3,0.004118804201574817
Cr_4,0.01137449689930515
Cr_5,0.014841449025837438
Cr_6,0.015187854991135388
Fe_1,-0.025913436713634188
Fe_2,-0.0698990498025092
Fe_3,-0.10597549935021372
Fe_4,-0.13331593633552394
Fe_5,-0.15444212625892167
Fe_6,-0.16159794886097453
Cd_1,-0.0011635728310579422
Cd_2,-0.0004023730940657743
Cd_3,0.006021442460726436
Cd_4,0.014626013122317118
Cd_5,0.017472511514540705
Cd_6,0.02341396353729308
Zn_1,-0.024497886155835903
Zn_2,-0.022607555217659524
Zn_3,0.047063888393102736
Zn_4,0.09764504916944948
Zn_5,0.11559526621573885
Zn_6,0.12552965227776255
Cu_1,0.0050313976539136575
Cu_2,0.014344248607860509
Cu_3,0.024785261603020026
Cu_4,0.03277930884911938
Cu_5,0.043454456536136304
Cu_6,0.05469150076842205
Pb_1,0.0068808949897416205
Pb_2,0.013092622048454431
Pb_3,0.01493903495936799
Pb_4,0.024804826841622857
Pb_5,0.03976942349363748
Pb_6,0.05371710296173647
