,BSU_misc_RNA_26
M9exp_1,14.9529
M9exp_2,14.4519
M9exp_3,14.4508
M9tran_1,13.93
M9tran_2,14.3086
M9tran_3,14.5966
M9stat_1,10.8278
M9stat_2,10.9246
M9stat_3,10.9066
MG-0.1_1,13.7866
MG-0.1_2,13.629
MG-0.1_3,14.8049
MG-0.2_2,14.1197
MG-0.2_3,14.5952
MG+5_1,13.613
MG+5_2,14.1622
MG+5_3,13.9672
MG+10_1,14.6722
MG+10_2,14.1412
MG+10_3,13.832
MG+15_1,14.1454
MG+15_2,15.2137
MG+15_3,14.9048
MG+25_1,14.4232
MG+25_2,13.8574
MG+25_3,14.6537
MG+45_1,14.3026
MG+45_2,13.7728
MG+45_3,15.0059
MG+60_2,14.2698
MG+60_3,14.4684
MG+90_2,13.4445
MG+90_3,14.4664
MG+120_1,13.3135
MG+120_2,14.4574
MG+120_3,14.146
MG+150_1,14.7187
MG+150_3,14.8175
GM-0.1_1,13.8775
GM-0.1_2,14.8692
GM-0.1_3,14.5137
GM-0.2_1,14.3366
GM-0.2_2,14.8988
GM-0.2_3,14.6374
GM+5_1,14.1657
GM+5_2,14.3697
GM+5_3,14.4962
GM+10_2,14.0619
GM+10_3,13.4455
GM+15_1,14.0348
GM+15_2,14.2965
GM+15_3,14.1728
GM+25_1,15.2088
GM+25_2,14.8986
GM+25_3,14.3101
GM+45_1,14.6456
GM+45_2,14.1571
GM+45_3,14.3536
GM+60_1,14.6611
GM+60_2,13.9222
GM+60_3,13.867
GM+90_1,14.5301
GM+90_2,14.6715
GM+90_3,14.7492
GM+120_1,13.6083
GM+120_3,14.1581
GM+150_1,14.4551
GM+150_2,14.0862
GM+150_3,14.6726
BT_1,9.9371
BT_2,9.3074
B36_1,11.924
B36_2,12.2787
B60_1,12.738
B60_2,14.5208
S0_1,11.8453
S0_2,12.0027
S0_3,12.0332
S1_1,11.3868
S1_2,11.0884
S1_3,11.803
S2_1,11.9529
S2_2,11.355
S2_3,10.5594
S3_1,13.4215
S3_2,13.3667
S4_1,13.5378
S4_2,11.278
S4_3,10.9538
S5_1,12.0407
S5_2,12.1898
S5_3,12.4075
S6_1,9.8413
S6_2,8.276
S6_3,9.8336
S6/t_1,9.9667
S6/t_2,7.9173
S6_4,10.2481
S6_5,10.4611
S6_6,10.7315
S7_4,10.7379
S7_5,10.436
S7_6,10.5543
S8_4,10.2565
S8_5,10.0627
G135_1,13.147
G135_3,11.6564
G150_1,12.343
G150_2,13.4455
G150_3,12.4324
G180_1,12.9402
G180_2,13.2135
G180_3,12.2284
T-5.40H_1,14.3918
T-4.40H_1,13.8421
T-3.40H_1,14.3851
T-2.40H_1,14.3981
T-1.40H_1,14.4949
T-1.10H_1,14.2064
T-0.40H_1,14.1485
T0.0H_1,12.5126
T0.30H_1,11.2185
T1.0H_1,10.3897
T1.30H_1,10.6314
T2.0H_1,10.1917
T2.30H_1,10.9155
T3.0H_1,10.7154
T3.30H_1,10.8651
T4.0H_1,10.7529
T5.0H_1,10.2432
LBexp_1,14.6221
LBexp_2,13.4319
LBexp_3,12.9378
LBtran_1,10.5834
LBtran_2,10.4261
LBtran_3,9.7949
LBstat_1,10.8861
LBstat_2,10.629
LBstat_3,10.4084
LBGexp_1,14.3428
LBGexp_2,15.7965
LBGexp_3,13.0182
LBGtran_2,11.9395
LBGtran_3,13.959
LBGstat_1,13.5617
LBGstat_2,12.6872
LBGstat_3,11.996
Mt0_1,14.2135
Mt0_3,14.4371
M0t45_1,12.0173
M0t45_2,12.5783
M0t45_3,12.7166
M0t90_1,10.2821
M0t90_2,11.4366
M0t90_3,10.5914
M40t45_1,10.2278
M40t45_2,9.67
M40t45_3,12.5858
M40t90_1,10.1053
M40t90_2,11.3331
M40t90_3,10.5541
dia0_1,12.5139
dia0_2,13.3345
dia0_3,13.4248
dia5_1,12.8581
dia5_2,12.1196
dia5_3,12.3716
dia15_1,13.3526
dia15_2,15.1098
dia15_3,14.3426
C30_1,11.1144
C30_2,11.6163
C90_1,12.4136
C90_2,12.6655
SMM_1,14.2584
SMM_2,14.63
SMM_3,14.3586
Salt_1,12.7002
Salt_2,12.3689
Salt_3,12.4303
M+G_1,12.1494
M+G_2,14.1848
M+G_3,12.9876
Glu_1,14.6215
Glu_2,14.4747
Glu_3,14.8052
Fru_1,14.0954
Fru_2,14.5623
Fru_3,13.8504
Mal_1,11.1969
Mal_2,13.8246
Mal_3,12.0666
G+S_2,12.8125
G+S_3,13.5228
Pyr_1,13.1809
Pyr_2,13.8217
Pyr_3,13.4263
Gly_1,10.1183
Gly_2,10.6837
Gly_3,9.3842
Glucon_1,13.3392
Glucon_2,14.1333
Glucon_3,12.6444
BI_1,14.1618
BI_2,14.1936
BC_2,13.2053
BC/t_1,12.8669
BC/t_2,13.037
BC_1,12.6109
Sw_1,12.7643
Sw_2,12.998
BMM_1,14.6471
BMM_2,14.3461
BMM_3,13.8692
Heat_1,14.187
Heat_2,14.0069
Heat_3,12.9722
Cold_1,15.7455
Cold_2,14.969
Cold_3,12.8614
Etha_1,9.2617
Etha_2,9.1394
Etha_3,8.9177
SMMPr_1,14.2341
SMMPr_2,12.9702
SMMPr_3,12.7453
HiTm_1,10.1179
HiTm_2,12.7803
HiTm_3,13.2532
LoTm_1,14.3
LoTm_2,13.8814
LoTm_3,14.0068
HiOs_1,14.0743
HiOs_2,13.671
HiOs_3,14.007
Oxctl_1,12.958
Oxctl_2,13.1327
