,ynaI
Cr_1,0.004617704502488759
Cr_2,0.009351651439796452
Cr_3,0.02007091504768091
Cr_4,0.02357631682142024
Cr_5,0.0302664933462659
Cr_6,0.03909575591133849
Fe_1,-0.026184412973293276
Fe_2,-0.033017896158154494
Fe_3,-0.026972138006592414
Fe_4,-0.02332805665806436
Fe_5,-0.0010698228845455859
Fe_6,0.008500944055483578
Cd_1,0.003331168878376862
Cd_2,0.006608673166009227
Cd_3,0.01534771098753807
Cd_4,0.017769304160731494
Cd_5,0.010627243826596472
Cd_6,0.02566426514088528
Zn_1,-0.010151621273032888
Zn_2,-0.01149868949778422
Zn_3,0.01387584054438803
Zn_4,0.032252261931098335
Zn_5,0.041323835184099766
Zn_6,0.0581219027753199
Cu_1,0.00038803992262114535
Cu_2,0.0019790536156162504
Cu_3,0.0054733373357736675
Cu_4,0.004455201976790101
Cu_5,0.009067114757137054
Cu_6,0.01223999476258862
Pb_1,-0.004229824165487542
Pb_2,0.01283375859670575
Pb_3,0.014266485809682584
Pb_4,0.02210264257625523
Pb_5,0.02523450366780664
Pb_6,0.02649530265199626
