,-0.06375978225000001,-0.049590941750000006,-0.035422101250000004,-0.021253260750000003,-0.007084420250000001,0.007084420250000001,0.021253260750000003,0.035422101250000004,0.049590941750000006,0.06375978225000001,0.07792862275000001,0.09209746325000001,0.10626630375000001,0.12043514425000001,0.13460398475000002,0.14877282525000002,0.16294166575000002,0.17711050625000002,0.19127934675000002,0.20544818725000003
thresh,-0.05667536200000001,0.05667536200000001,1,,,,,,,,,,,,,,,,,
unreg,1,4,24,348,2810,2356,274,43,12,5,8,4,3,4,4,2,2,2,0,0
unreg_genes,['kdpF'],[],[],[],[],[],[],[],[],['PSPTO_RS14105' 'PSPTO_RS29925' 'PSPTO_4466' 'fnr-1' 'hfq'],"['pmbA' 'htpX' 'PSPTO_RS08685' 'fxsA' 'PSPTO_2729' 'PSPTO_4611' 'cysI'
 'tldD']",['PSPTO_1205' 'msrA' 'lon' 'PSPTO_RS24155'],['dapB' 'clpB' 'PSPTO_4667'],['dnaJ' 'uvrB' 'PSPTO_0153' 'PSPTO_5142'],['hslV' 'cbpA' 'groL' 'lon'],['groES' 'hslU'],['PSPTO_2170' 'htpG'],['dnaK' 'grpE'],[],[]
