,nohA
Cr_1,-0.0017451741644664842
Cr_2,-0.002346663737368309
Cr_3,-0.016441002472127816
Cr_4,-0.02647098962364075
Cr_5,-0.017730179057048233
Cr_6,-0.03186493369593745
Fe_1,-0.08063955696761108
Fe_2,-0.15692837178657612
Fe_3,-0.1652073041813625
Fe_4,-0.17482284033203746
Fe_5,-0.05396753482193848
Fe_6,-0.09658008520158118
Cd_1,-0.0018694052356851727
Cd_2,-0.001417414612224857
Cd_3,0.0022807867308221644
Cd_4,0.007185305327196836
Cd_5,0.012545061155035843
Cd_6,0.013272614796778813
Zn_1,-0.03141674181284212
Zn_2,-0.03710319553329479
Zn_3,-0.02241878723901108
Zn_4,-0.0065771761995177215
Zn_5,0.031366616569084606
Zn_6,0.028976710274940105
Cu_1,0.0022245947250074056
Cu_2,0.002452231486924781
Cu_3,0.008598974043989295
Cu_4,0.013023830864720736
Cu_5,0.01563834200216626
Cu_6,0.0274330859761245
Pb_1,0.0073092028406055954
Pb_2,0.013095457521710398
Pb_3,0.02792419431745225
Pb_4,0.03754095731972605
Pb_5,0.05248014706026383
Pb_6,0.06816706813056571
