,BSU_misc_RNA_16
M9exp_1,13.9614
M9exp_2,13.5004
M9exp_3,13.3913
M9tran_1,13.7254
M9tran_2,13.2535
M9tran_3,13.595999999999998
M9stat_1,13.5716
M9stat_2,12.1728
M9stat_3,11.9541
MG-0.1_1,13.9729
MG-0.1_2,12.8448
MG-0.1_3,14.8499
MG-0.2_2,14.3535
MG-0.2_3,15.0155
MG+5_1,13.4485
MG+5_2,13.8595
MG+5_3,14.3663
MG+10_1,14.363
MG+10_2,14.0297
MG+10_3,12.5942
MG+15_1,13.3819
MG+15_2,14.3608
MG+15_3,14.0709
MG+25_1,14.0744
MG+25_2,13.5947
MG+25_3,14.7769
MG+45_1,13.9148
MG+45_2,12.9253
MG+45_3,14.5311
MG+60_2,13.2989
MG+60_3,13.8567
MG+90_2,12.7907
MG+90_3,14.466
MG+120_1,14.0804
MG+120_2,14.3511
MG+120_3,13.8469
MG+150_1,14.0224
MG+150_3,15.3081
GM-0.1_1,13.6626
GM-0.1_2,13.635
GM-0.1_3,14.6413
GM-0.2_1,13.8873
GM-0.2_2,14.4059
GM-0.2_3,13.8471
GM+5_1,13.5428
GM+5_2,13.9202
GM+5_3,14.2418
GM+10_2,13.8596
GM+10_3,12.8804
GM+15_1,13.6846
GM+15_2,14.7413
GM+15_3,14.6011
GM+25_1,14.2944
GM+25_2,14.5942
GM+25_3,13.9262
GM+45_1,14.2904
GM+45_2,12.6969
GM+45_3,12.4938
GM+60_1,14.2258
GM+60_2,12.8461
GM+60_3,12.5825
GM+90_1,13.5743
GM+90_2,13.6338
GM+90_3,13.6623
GM+120_1,12.9302
GM+120_3,14.3995
GM+150_1,13.9632
GM+150_2,13.1837
GM+150_3,13.8235
BT_1,11.6971
BT_2,10.4836
B36_1,12.9043
B36_2,12.4269
B60_1,13.0356
B60_2,13.0828
S0_1,11.0231
S0_2,10.7895
S0_3,11.4453
S1_1,13.325
S1_2,13.6166
S1_3,13.4575
S2_1,13.8643
S2_2,13.4294
S2_3,13.8255
S3_1,13.3873
S3_2,13.2933
S4_1,13.2552
S4_2,13.3546
S4_3,13.4128
S5_1,12.7834
S5_2,13.4455
S5_3,13.3791
S6_1,12.4883
S6_2,8.4168
S6_3,13.002
S6/t_1,12.2224
S6/t_2,7.7922
S6_4,11.2222
S6_5,12.0771
S6_6,12.1482
S7_4,12.4932
S7_5,12.1848
S7_6,11.4688
S8_4,11.5177
S8_5,10.285
G135_1,10.777
G135_3,9.3635
G150_1,11.1764
G150_2,13.1786
G150_3,11.4331
G180_1,11.5681
G180_2,12.2452
G180_3,12.3915
T-5.40H_1,14.0389
T-4.40H_1,13.8587
T-3.40H_1,13.9345
T-2.40H_1,13.0987
T-1.40H_1,13.0614
T-1.10H_1,13.0859
