,yadN
Cr_1,-0.002398350655649313
Cr_2,-0.015614832890191213
Cr_3,-0.02525663899157682
Cr_4,-0.03381762397540894
Cr_5,-0.03761686690286852
Cr_6,-0.03331039092414797
Fe_1,-0.01856796369053769
Fe_2,-0.051762912234304806
Fe_3,-0.08144629750733308
Fe_4,-0.12774651676435878
Fe_5,-0.14908105361460214
Fe_6,-0.1687528688011688
Cd_1,0.0033275670856094557
Cd_2,0.003371328990494281
Cd_3,-0.0015635774483953
Cd_4,-0.007574492708128755
Cd_5,-0.0165975313125457
Cd_6,-0.013793251611278413
Zn_1,0.016177615543498055
Zn_2,0.04040912891782564
Zn_3,0.034800215171523964
Zn_4,0.005838161009603447
Zn_5,-0.04748671769741202
Zn_6,-0.1031727613971826
Cu_1,0.0014615820426121568
Cu_2,0.0006259357482003706
Cu_3,0.01137012955903436
Cu_4,0.01411205257712566
Cu_5,0.011200055940344112
Cu_6,0.0054141177474470075
Pb_1,0.0063669707043425205
Pb_2,0.015180050390986738
Pb_3,0.030035231986144505
Pb_4,0.038119667794463
Pb_5,0.054656110950754094
Pb_6,0.06231911977640325
