,yihU
Cr_1,-0.015844183840038585
Cr_2,-0.009923585142013969
Cr_3,-0.010296539169421592
Cr_4,-0.00392116691943953
Cr_5,-0.00011784473690440835
Cr_6,0.008969903989996027
Fe_1,-0.03430543606852125
Fe_2,-0.042897247758343984
Fe_3,-0.02166858296298837
Fe_4,-0.028033380366727846
Fe_5,-0.04242177119913307
Fe_6,-0.06477787833722981
Cd_1,-0.003367148692723881
Cd_2,0.003250756642845087
Cd_3,0.01725009707441214
Cd_4,0.03262174777538328
Cd_5,0.03571154009595045
Cd_6,0.042817491995443636
Zn_1,-0.03933343711907631
Zn_2,-0.056919208983817984
Zn_3,-0.052846906394412564
Zn_4,-0.05442163190406815
Zn_5,-0.059312844592243175
Zn_6,-0.04773473529433631
Cu_1,0.004787411482176341
Cu_2,0.002179948798618761
Cu_3,0.0070057090718510275
Cu_4,0.010411257635582555
Cu_5,0.007724857257770697
Cu_6,0.016940414818172624
Pb_1,0.023629109675556342
Pb_2,0.024539581682113374
Pb_3,0.03885390185361981
Pb_4,0.04804785398189774
Pb_5,0.06197100041195424
Pb_6,0.08334975802345326
