,-0.07479606063172098,-0.06328897438068698,-0.05178188812965298,-0.04027480187861898,-0.028767715627584983,-0.017260629376550984,-0.0057535431255169855,0.005753543125517013,0.017260629376551012,0.02876771562758501,0.04027480187861901,0.05178188812965301,0.06328897438068701,0.074796060631721,0.086303146882755,0.097810233133789,0.109317319384823,0.120824405635857,0.132331491886891,0.143838578137925
thresh,-0.04602834500413599,0.04602834500413599,1,,,,,,,,,,,,,,,,,
unreg,5,5,10,30,133,354,679,604,291,96,35,21,9,5,8,4,7,0,0,0
unreg_genes,['SACI_RS11655' 'SACI_RS05455' 'segA' 'SACI_RS11850' 'amt'],['nucS' 'ydaP' 'aapA' 'SACI_RS11570' 'SACI_RS03460'],"['Saci_0506' 'nikR' 'Saci_1788' 'lrpC' 'Saci_1238' 'norW_2' 'Saci_1913'
 'Saci_1335' 'Saci_1189' 'Saci_0443']",[],[],[],[],[],[],[],[],"['Saci_1991' 'barR' 'Saci_1028' 'Saci_2311' 'Saci_2009' 'Saci_1366' 'sod'
 'Saci_2233' 'csx26' 'Saci_2231' 'Saci_0726' 'Saci_2232' 'cdc6-2' 'gdhA'
 'Saci_1141' 'ogg1' 'Saci_1324' 'leuA' 'Saci_0474' 'Saci_2230' 'cas10d']","['SACI_RS11735' 'Saci_1781' 'Saci_1124' 'Saci_1524' 'Saci_0904'
 'Saci_1142' 'cdvB1' 'Saci_1728' 'abfR2']",['Saci_1729' 'Saci_0479' 'SACI_RS02295' 'thyX' 'nrdJ'],"['SACI_RS08885' 'Saci_0439' 'Saci_1405' 'SACI_RS10430' 'Saci_1688' 'dpo2'
 'cas3' 'Saci_0477']",['Saci_0277' 'csc1gr5' 'cas7d' 'cdc6-3'],"['Saci_0002' 'Saci_0276' 'Saci_0475' 'Saci_0847' 'Saci_0947' 'Saci_1753'
 'Saci_1505']",[],[],[]
