,A,SigD
R2,,0.4933478931525722
xmin,,-4.5527663944423065
xmid,,-2.8545681442334203
xmax,,2.906562143146541
ystart,,-22.44852866784307
yend,,18.41099341358123
amb:ctrl:1,1.3035541847055634,0.08025708303151813
amb:ctrl:2,0.1346847000125698,0.07042335491978413
amb:ctrl:3,-1.4382388847181389,-0.15068043795130048
amb:amb:1,1.3413367668588938,0.305833507869024
amb:amb:2,-0.8256109049503642,0.09025912289903816
amb:amb:3,-1.5467046516502931,-0.41345720550651066
ave1:ctrl_5m:1,0.3060738323450549,0.10786272075664982
ave1:vdave1_5m:1,1.4419496380392305,-0.06992124785288213
ave1:ctrl_20m:1,0.8981704105290308,0.038151105743456704
ave1:vdave1_20m:1,-1.815641638164691,0.014576093318513728
ave1:supernatant_5m:1,-2.4228283926342407,-0.0902525434253958
ave1:vnave1_20m:1,-2.7131001749396124,-0.10140760965161187
ave1:supernatant_20m:1,-0.7525903573195624,0.08067042409407232
ave1:ctrl_5m:2,-0.30607383234507035,-0.10786272075664982
ave1:vdave1_5m:2,1.5860291667409607,0.0016491980432489226
ave1:ctrl_20m:2,-0.15055550570804865,0.1928433902115021
ave1:vdave1_20m:2,-2.102737056121021,-0.06289599061156181
ave1:supernatant_5m:2,-2.8678470626453905,0.2268344500673223
ave1:vnave1_20m:2,-1.1073703641028232,0.041750567953199536
ave1:supernatant_20m:2,0.7422179973662382,0.10634671270896677
biofilm_time:8h:1,-1.0384618807310084,-0.15607658409278002
biofilm_time:8h:2,0.780479577201948,0.1029354980036432
biofilm_time:8h:3,0.35666563495770537,0.04864463005054187
biofilm_time:8h:4,-0.09868333142864977,0.004496456038594943
biofilm_time:12h:1,4.329471984584135,-0.45022294637405214
biofilm_time:12h:2,3.2453584325529516,0.11228370750325743
biofilm_time:12h:3,0.30909059120787563,-0.16647612194025818
biofilm_time:12h:4,-1.1665130899178229,-0.3939914871843849
biofilm_time:16h:1,-1.820175890926756,-0.13646551788908567
biofilm_time:16h:2,2.8492450699823264,0.06313593402710804
biofilm_time:16h:3,-4.31437926339471,-0.2993559901494294
biofilm_time:16h:4,-5.959343268489896,-0.4538745836964422
biofilm_time:20h:1,-10.573398462248148,-0.9880201275414464
biofilm_time:20h:2,-4.189812526934759,-0.8708804995825572
biofilm_time:20h:3,-13.801019269563431,-1.2763720005644297
biofilm_time:20h:4,-9.300022448722483,-1.473113014506236
biofilm_time:24h:1,-7.8071535531718705,-1.1318227913749714
