,yihD
Cr_1,0.0036716497511221826
Cr_2,0.00807192286501018
Cr_3,0.011591614320341156
Cr_4,0.013778484996202876
Cr_5,0.01585344426625778
Cr_6,0.015192438516534519
Fe_1,-0.006580908355160828
Fe_2,-0.019899163365290542
Fe_3,-0.03658005995695502
Fe_4,-0.05540961150822716
Fe_5,-0.0619248777531872
Fe_6,-0.06072082169016488
Cd_1,0.004641937161837505
Cd_2,0.01013921275867723
Cd_3,0.014047433546900709
Cd_4,0.01846551738563335
Cd_5,0.017892210727201274
Cd_6,0.0246119220603006
Zn_1,-0.0053534185493398796
Zn_2,-0.015235802512469091
Zn_3,-0.0183073917445164
Zn_4,-0.0178048122279663
Zn_5,-0.013431493547599377
Zn_6,-0.007052589828669117
Cu_1,-0.0010256397573144868
Cu_2,-0.0058844599447338535
Cu_3,-0.010671727727560993
Cu_4,-0.02112758030841545
Cu_5,-0.031278701542390215
Cu_6,-0.03381607804360565
Pb_1,-0.020502425973844482
Pb_2,-0.04525957818275668
Pb_3,-0.05988904204247659
Pb_4,-0.0659916687759638
Pb_5,-0.07769975417928429
Pb_6,-0.08513643211198256
