,A,RhaS,Crp
R2,,0.9284051672401235,0.001732463095648007
xmin,,-2.226677481,-9.852476477
xmid,,1.7889043368428452,-2.7851676444361533
xmax,,10.324971899,1.6003325529999994
ystart,,-0.032093177186006905,-0.14309381581480451
yend,,22.645808986847317,2.5765462678291726
control__wt_glc__1,-0.1162940421087894,-0.2281117879999999,0.012478645999999928
control__wt_glc__2,0.1162940421088285,0.2281117880000001,-0.012478645999999928
fur__wt_dpd__1,0.4672831258036533,-0.14740183900000006,0.07757413100000042
fur__wt_dpd__2,-0.0545254348328261,0.1832471670000002,-0.0906821709999992
fur__wt_fe__1,-0.3502307053301311,-0.2509962929999998,-0.030513672999999738
fur__wt_fe__2,-0.1749382147542977,-0.185756649,0.0581907200000007
fur__delfur_dpd__1,-0.2137959239145213,-0.23689832399999974,-0.10598198399999957
fur__delfur_dpd__2,0.0134065608561893,-0.14629763299999965,-0.22346684100000047
fur__delfur_fe2__1,-0.4351127083553578,0.16824983200000032,0.4364299129999996
fur__delfur_fe2__2,-0.4145056878700025,-0.3448636509999998,0.36756339300000107
acid__wt_ph5__1,-0.6128763707256655,0.2828717750000003,0.3455225730000002
acid__wt_ph5__2,-0.2677625260856813,-0.33612173199999984,0.34313646300000045
acid__delgadx_ph5__2,-0.3230389037529014,-0.14806272100000006,0.3393877130000007
acid__delgadw_ph5__1,-0.115373610977158,-0.16263925899999965,0.3838637929999997
acid__delgadw_ph5__2,0.2319080054241572,0.20363564599999995,0.3398617829999999
acid__delgade_ph5__1,-0.3253270340553862,-0.21439909699999984,0.432408723
acid__delgade_ph5__2,-0.2277229024024263,-0.016616611999999975,0.4824361929999999
oxidative__wt_pq__1,0.2868861093655032,0.4493086070000003,0.17662370300000066
oxidative__wt_pq__2,0.4512816678122613,0.5730659240000002,0.24038529300000103
oxidative__deloxyr_pq__1,-0.296540204580019,0.27630083500000024,0.5131550130000004
oxidative__deloxyr_pq__2,0.0044002388127153,0.3802837020000003,0.5363373029999998
oxidative__delsoxr_pq__1,-0.3983832828107379,-0.2959183219999999,0.3346725330000009
oxidative__delsoxr_pq__2,-0.0652236779882623,-0.06590336899999992,0.3870598730000001
oxidative__delsoxs_pq__1,0.2018082988794179,-0.07527340799999971,0.5134629630000003
oxidative__delsoxs_pq__2,0.351031869220262,0.20048455700000026,0.5104807529999995
nac_ntrc__wt_csn__1,-0.6498615375736754,0.3125570920000005,-0.0727968299999997
nac_ntrc__wt_csn__2,-0.1579640865885352,0.4214851100000003,-0.09324395099999984
nac_ntrc__wt_cytd__1,0.2691363277005428,0.16020815000000033,-0.043119613
nac_ntrc__wt_cytd__2,0.3106881836571551,0.1675685920000003,-0.07348926000000056
nac_ntrc__wt_gln__1,-0.2203720537608188,0.2018943270000002,0.16383650300000066
nac_ntrc__wt_gln__2,0.9615346333832774,0.18633007800000007,0.11651884599999995
nac_ntrc__bw_delnac_csn__1,-1.5822912208639217,0.8659230550000006,0.16921202300000004
nac_ntrc__bw_delnac_csn__2,-2.462320837407676,0.9613544370000002,0.03216219000000109
nac_ntrc__bw_delnac_cytd__1,-2.174675582594222,-0.18549272599999966,0.2936758630000007
nac_ntrc__bw_delnac_cytd__2,-2.190896604351093,0.028873017000000445,0.2286386530000009
nac_ntrc__bw_delnac_gln__1,-2.1074124187029746,-0.05598789999999987,0.5051051429999998
nac_ntrc__bw_delnac_gln__2,-2.8502044812346616,-0.4625026189999999,0.563775123000001
nac_ntrc__bw_delnac_nh4__1,-1.2582614331817417,-0.4413243169999999,0.3391651030000009
nac_ntrc__bw_delnac_nh4__2,-1.6903261429876697,-0.20032238899999968,0.3602350630000011
misc__wt_no_te__1,0.1382153581049833,-0.25588173699999994,0.3221691629999999
misc__wt_no_te__2,-0.1371914959910096,-0.2992625199999999,0.3159875930000009
