,-0.12436247364999999,-0.11127168694999999,-0.09818090025,-0.08509011355,-0.07199932685,-0.05890854015000001,-0.04581775345000001,-0.03272696675000002,-0.01963618005000002,-0.0065453933500000255,0.00654539334999997,0.019636180049999966,0.03272696674999996,0.04581775344999996,0.05890854014999995,0.07199932684999995,0.08509011354999994,0.09818090024999994,0.11127168694999993,0.12436247364999993
thresh,-0.06545393349999999,0.06545393349999999,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,0,1,25,309,2269,1417,204,44,16,1,2,1,3,0,0
unreg_genes,['trpF'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['trnI-Thr' 'yozL'],['yonP'],['ygzA' 'sspF' 'csfB'],[],[]
