,A,RbsR
R2,,0.6355531219826418
xmin,,3.2184360571
xmid,,
xmax,,9.1222766988
ystart,,-4.848735982896175
yend,,22.402758543230046
control__wt_glc__1,0.4304572002,4.2661083257
control__wt_glc__2,-0.4304572002,4.4412578441
fur__wt_dpd__1,-3.3727006091,3.9296777177
fur__wt_dpd__2,-4.1629344846,4.0145690931
fur__wt_fe__1,0.06828672570000001,4.1117089407
fur__wt_fe__2,-0.1656538817,4.1205802208
fur__delfur_dpd__1,-2.8735195335,3.4369618919000002
fur__delfur_dpd__2,-2.519695916,3.4634886789
fur__delfur_fe2__1,0.2604767181,4.4093574816
fur__delfur_fe2__2,0.3680149039,4.2392499861
acid__wt_ph5__1,-1.0196380775,3.8487542698
acid__wt_ph5__2,-1.0200078909,4.2267459973
acid__delgadx_ph5__1,-1.185148347,4.2975803823
acid__delgadx_ph5__2,-1.1032324548,4.0954071819
acid__delgadw_ph5__1,-0.8073603938,4.3224239304
acid__delgadw_ph5__2,-1.1580182235,4.2364061771
acid__delgade_ph5__1,-0.8248338426,4.1564893595
acid__delgade_ph5__2,-0.8549851904,4.0651401458
oxidative__wt_pq__1,-4.7713530769,3.7301947963
oxidative__wt_pq__2,-4.2312436258,3.9382048489
oxidative__deloxyr_pq__1,-5.0679914416,4.3782802621
oxidative__deloxyr_pq__2,-5.1201054958,4.2887432528
oxidative__delsoxr_pq__1,-5.0999187851,3.4123678963
oxidative__delsoxr_pq__2,-5.2967359753,3.5317636353
oxidative__delsoxs_pq__1,-6.1388049759,4.0489197252
oxidative__delsoxs_pq__2,-5.5579463933,3.8326855176
nac_ntrc__wt_csn__1,-1.3604165403000001,3.9592742793999998
nac_ntrc__wt_csn__2,-1.4313522511,4.1831984963
nac_ntrc__wt_cytd__1,-0.917297754,3.8803973894
nac_ntrc__wt_cytd__2,-0.7537548905,3.82444262
nac_ntrc__wt_gln__1,-0.7841426339,4.4902375834
nac_ntrc__wt_gln__2,-1.1399084108,4.1284572351
nac_ntrc__bw_delnac_csn__1,-4.5866084609,4.0851775077
nac_ntrc__bw_delnac_csn__2,-5.2368201862,3.8885481295
nac_ntrc__bw_delnac_cytd__1,-1.2080074884,4.0430812047
nac_ntrc__bw_delnac_cytd__2,-1.2747099949,4.1506568286
nac_ntrc__bw_delnac_gln__1,-1.7923987439,4.2854392883
nac_ntrc__bw_delnac_gln__2,-1.3027863358,4.3277252464
nac_ntrc__bw_delnac_nh4__1,1.295500907,4.4823502415
nac_ntrc__bw_delnac_nh4__2,0.9862881464000001,4.2397165643
misc__wt_no_te__1,-1.6600354286,3.9382568203
misc__wt_no_te__2,-0.3457731147,4.116179942
misc__bw_delcbl__1,0.4333829746,4.5556962369
misc__bw_delcbl__2,0.1626108859,4.212351025
misc__bw_delfabr__1,0.4799201169,4.3060841093
misc__bw_delfabr__2,0.4880042321,3.8125143784
misc__bw_delfadr__1,-0.134810538,4.4193681282
misc__bw_delfadr__2,0.2059992433,4.3184471154
misc__nitr_031__1,-0.5895021429,4.3023356358000004
omics__wt_glu__1,0.9444849555,4.2462834589
omics__wt_glu__2,0.0311722335,4.6360150137
omics__wt_gly__1,0.9730970701,4.1746981903
omics__wt_gly__2,1.5555878416,4.0838789037
omics__wt_thr__1,2.6977807081,4.8243500699
omics__wt_thr__2,2.3269001937000002,4.7954325193
omics__bw_ac__1,4.6377343576,4.9341522784
omics__bw_ac__2,4.8617973157000005,5.2385172251
omics__bw_fum__1,4.4215420048,5.2370514538
omics__bw_fum__2,4.3199760223,5.0247637455
omics__bw_glc__1,0.6026893511,4.3250173485
omics__bw_glc__2,0.746945041,4.4586440388
omics__bw_pyr__1,3.0786069251,5.4447899007
omics__bw_pyr__2,3.2626656203,5.2687179822
ompr__wt_nacl__1,-0.2752395527,3.7989379047
ompr__wt_nacl__2,-0.2804188436,3.8245820762
ompr__bw_delompr_nacl__1,2.2990414258,4.0956768526
ompr__bw_delompr_nacl__2,2.4479015852,4.0688341395
minspan__wt_ade__1,-2.4003045850999998,4.8032749728
minspan__wt_glc__1,0.33432359580000004,4.6904269588
minspan__wt_glc__2,0.7866040754,4.4175061627
minspan__wt_glc__3,1.0322450380000001,4.4446158477
minspan__wt_glc__4,0.6630617735000001,4.2870445982
minspan__wt_glc_anaero__1,-1.334668956,4.2069269429
