,yncJ
Cr_1,-0.0008185195341909045
Cr_2,0.000866936125226691
Cr_3,0.0022956866559483763
Cr_4,0.0062936943299867045
Cr_5,0.00610893098558974
Cr_6,0.004289407550147872
Fe_1,-0.006963540375070818
Fe_2,-0.0248465639715862
Fe_3,-0.04650148317975844
Fe_4,-0.07545779542603744
Fe_5,-0.10103500331912857
Fe_6,-0.11852036069399335
Cd_1,-0.015576099611860924
Cd_2,-0.0095616597754491
Cd_3,-0.008753135492438497
Cd_4,-0.007904799653426773
Cd_5,0.036532191238322416
Cd_6,0.038801116260176544
Zn_1,-0.0012729806398458162
Zn_2,-0.006240369658269348
Zn_3,-0.006887423356229361
Zn_4,-0.002346287493743739
Zn_5,0.004928482244376635
Zn_6,0.008324068638686578
Cu_1,0.004636123960542317
Cu_2,0.01005718702256452
Cu_3,0.014585920305394578
Cu_4,0.018642773578710456
Cu_5,0.021453326199576062
Cu_6,0.02585475114753653
Pb_1,0.0072770063389040705
Pb_2,0.015234287111991809
Pb_3,0.024219651920191158
Pb_4,0.034137435467017765
Pb_5,0.04360827080284305
Pb_6,0.05414308923534796
