,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A,rep5_idx,rep5_A,rep6_idx,rep6_A,rep7_idx,rep7_A,rep8_idx,rep8_A,rep9_idx,rep9_A,rep10_idx,rep10_A,rep11_idx,rep11_A,rep12_idx,rep12_A,rep13_idx,rep13_A,rep14_idx,rep14_A,rep15_idx,rep15_A,rep16_idx,rep16_A,rep17_idx,rep17_A,rep18_idx,rep18_A,rep19_idx,rep19_A,rep20_idx,rep20_A,rep21_idx,rep21_A
0,ME_vs_LE__THY_None_WT_earlylog-planktonic,3.333329908391155e-11,0.9620592941044741,3.0,0.0,-0.6366257523000001,1.0,1.1067219223,2.0,-0.4700961699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME_vs_LE__THY_None_WT_latelog-planktonic,2.7631419389333334,0.834604470210805,3.0,3.0,2.9567455207,4.0,3.4839298138,5.0,1.8487504823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME_vs_LE__THY_None_WT_earlystationary-planktonic,6.886650996866667,2.639388439612306,3.0,6.0,6.6445954014,7.0,9.6387295641,8.0,4.3766280251000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ME_vs_S__THY_None_WT_mid-exponential_OD1.0,-4.7619236596236055e-12,0.8638457950677141,21.0,9.0,1.3880314257,10.0,-0.34132744800000003,11.0,-0.8974984249,12.0,1.2172853552,13.0,-0.8082306038,14.0,-0.70790902,15.0,-1.1061330125,16.0,-0.8993626677000001,17.0,-1.209934222,18.0,0.34033200500000005,19.0,-0.2287971644,20.0,-0.5255136315,21.0,-0.2595220359,22.0,-0.2919904768,23.0,-0.2126838473,24.0,0.1306304607,25.0,1.5880766832000002,26.0,0.25947135450000003,27.0,0.9963266574,28.0,1.2700485618,29.0,0.29870005120000004
4,ME_vs_S__THY_None_WT_early-stationary_OD1.8,18.777282904609525,4.525222486386606,21.0,30.0,13.0449005558,31.0,24.4508102281,32.0,23.4164937041,33.0,21.7178074535,34.0,20.9247360303,35.0,20.7476971714,36.0,13.1409007147,37.0,22.9991359718,38.0,13.4955428198,39.0,21.1600362434,40.0,21.33245083,41.0,23.3537607299,42.0,20.4125439972,43.0,21.2423372697,44.0,22.7750770397,45.0,19.3059423896,46.0,16.2636819934,47.0,20.2056493767,48.0,12.0266020108,49.0,11.0784112589,50.0,11.228423208
5,WT_vs_Del_ccpA__THY_None_WT_exponential,-3.333332824894999e-11,0.24305683171043269,3.0,51.0,-0.2428027998,52.0,0.2433100696,53.0,-0.0005072699000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,WT_vs_Del_ccpA__THY_None_Del-ccpA_exponential,8.996912483025,0.5617246903511829,4.0,54.0,9.6119993288,55.0,9.3135653225,56.0,8.6612993372,57.0,8.4007859436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,WT_vs_Del_covR__THY_None_WT_late-exponential,1.3877787807814457e-17,0.5555096809297699,4.0,58.0,-0.7914275259,59.0,0.48408269800000003,60.0,0.059202821100000004,61.0,0.2481420068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,WT_vs_Del_covR__THY_None_covR-D53A_late-exponential,0.7855529836999999,0.674472479221766,4.0,62.0,-0.0481022845,63.0,1.2587319166,64.0,0.5293920377,65.0,1.402190265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,WT_vs_Del_covR__THY_None_covS-E281A_late-exponential,0.1510122944,0.6364175411736802,4.0,66.0,0.6727326683,67.0,-0.628991764,68.0,-0.1078717321,69.0,0.6681800054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,WT_vs_Del_covR__THY_None_covS-T284A_late-exponential,0.45013713480000006,0.12345209818980554,4.0,70.0,0.2972896736,71.0,0.4025251467,72.0,0.5504628528000001,73.0,0.5502708661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,WT_vs_Del_dahA__THY_None_WT_mid-exponential,1.6666742060541157e-11,0.9863431650764436,6.0,74.0,0.5609422372,75.0,1.0276445029,76.0,0.9490089729000001,86.0,-1.3369843569,88.0,-0.3944225032,90.0,-0.8061888528000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,WT_vs_Del_dahA__THY_None_WT_early-stationary,3.1933305842666666,2.619479531328121,6.0,77.0,5.3775176093,78.0,5.1502017274,79.0,6.1193913152,87.0,0.8845535369,89.0,1.3117317635,91.0,0.3165875533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,WT_vs_Del_dahA__THY_None_Del_dahA_mid-exponential,-1.5873184776,0.3090366069251351,3.0,80.0,-1.8000343887999999,82.0,-1.2328323691,84.0,-1.7290886749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,WT_vs_Del_dahA__THY_None_Del_dahA_early-stationary,3.6235894392,0.41594417252684246,3.0,81.0,4.0618277432,83.0,3.234264687,85.0,3.5746758873999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
