,A,CcpA
R2,,0.030943233197930686
xmin,,-9.0289511447
xmid,,
xmax,,1.2431356953
ystart,,12.951106045532246
yend,,3.213865526547763
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:1.0,-0.6366257523000001,-0.2807680215
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:2.0,1.1067219223,0.3377657942
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlylog-planktonic:3.0,-0.4700961699,-0.0569977728
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:1.0,2.9567455207,-0.329928143
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:2.0,3.4839298138,-0.2906949592
S. pyogenes_THY_ME_vs_LE:THY_None_WT_latelog-planktonic:3.0,1.8487504823,-0.025623930700000002
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:1.0,6.6445954014,-0.9686044904000001
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:2.0,9.6387295641,-0.9101280236
S. pyogenes_THY_ME_vs_LE:THY_None_WT_earlystationary-planktonic:3.0,4.3766280251000005,-0.3401792181
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:1.0,1.3880314257,0.0930622998
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:2.0,-0.34132744800000003,0.1994891543
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:3.0,-0.8974984249,-0.6174295959
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:4.0,1.2172853552,0.4127087393
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:5.0,-0.8082306038,0.15337862200000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:6.0,-0.70790902,-0.2251262078
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:7.0,-1.1061330125,-0.0755792399
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:8.0,-0.8993626677000001,-0.5375920895
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:9.0,-1.209934222,-0.6990690522
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:10.0,0.34033200500000005,0.8498944340000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:11.0,-0.2287971644,0.5839759090000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:12.0,-0.5255136315,0.2588821029
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:13.0,-0.2595220359,-0.0761188094
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:14.0,-0.2919904768,-0.42649660570000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:15.0,-0.2126838473,-0.1276440452
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:16.0,0.1306304607,0.5769617767
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:17.0,1.5880766832000002,-0.0413643228
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:18.0,0.25947135450000003,0.26121929720000003
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:19.0,0.9963266574,0.14485477830000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:20.0,1.2700485618,-0.4374039514
S. pyogenes_THY_ME_vs_S:THY_None_WT_mid-exponential_OD1.0:21.0,0.29870005120000004,-0.2706031939
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:1.0,13.0449005558,-0.6230912759
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:2.0,24.4508102281,-0.09415964360000001
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:3.0,23.4164937041,-0.4042412013
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:4.0,21.7178074535,-0.4450121802
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:5.0,20.9247360303,0.24360068880000002
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:6.0,20.7476971714,-0.1996179843
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:7.0,13.1409007147,-0.5236293891
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:8.0,22.9991359718,-0.3203825342
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:9.0,13.4955428198,-0.6837131686
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:10.0,21.1600362434,-0.4212554764
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:11.0,21.33245083,-0.3463772752
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:12.0,23.3537607299,-0.40162297900000005
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:13.0,20.4125439972,-0.4646041967
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:14.0,21.2423372697,-0.6271136081
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:15.0,22.7750770397,-0.4606200754
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:16.0,19.3059423896,-0.3465394627
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:17.0,16.2636819934,-2.1860887462
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:18.0,20.2056493767,-0.5972222734
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:19.0,12.0266020108,-1.1676243202
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:20.0,11.0784112589,-0.9975755907
S. pyogenes_THY_ME_vs_S:THY_None_WT_early-stationary_OD1.8:21.0,11.228423208,-1.1086585150000001
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:1.0,-0.2428027998,0.097841728
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:2.0,0.2433100696,-0.1023126313
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_WT_exponential:3.0,-0.0005072699000000001,0.0044709033000000006
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:1.0,9.6119993288,-7.0967049851
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:2.0,9.3135653225,-9.0289511447
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:3.0,8.6612993372,-8.3801909578
S. pyogenes_THY_WT_vs_Del_ccpA:THY_None_Del-ccpA_exponential:4.0,8.4007859436,-8.5621667031
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:1.0,-0.7914275259,-0.1034421667
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:2.0,0.48408269800000003,0.0194160586
S. pyogenes_THY_WT_vs_Del_covR:THY_None_WT_late-exponential:3.0,0.059202821100000004,0.0915139277
