,yiaU
Cr_1,-0.0067760764867013535
Cr_2,-0.00723480277581702
Cr_3,-0.0026660985886801307
Cr_4,-0.0012494575287786002
Cr_5,-0.003722984988750918
Cr_6,-0.004782481418810496
Fe_1,-0.005711037813008335
Fe_2,-0.012134646850020513
Fe_3,-0.03433171881379021
Fe_4,-0.053734939822028364
Fe_5,-0.06048708476086152
Fe_6,-0.07232193613751314
Cd_1,0.0008932707728646162
Cd_2,0.011184123600338531
Cd_3,0.02196834171272322
Cd_4,0.030007864764057982
Cd_5,0.036278160363808376
Cd_6,0.04356860077102375
Zn_1,-0.002487089406373804
Zn_2,-0.0102527194324081
Zn_3,-0.0241368474582365
Zn_4,-0.03736762349255681
Zn_5,-0.05415390171613089
Zn_6,-0.06831365773216921
Cu_1,0.003944670359839047
Cu_2,0.013523049114778942
Cu_3,0.021336372366687468
Cu_4,0.026937635791241213
Cu_5,0.029338403947954464
Cu_6,0.0359454486755206
Pb_1,0.0003896810932824622
Pb_2,0.008389891713125113
Pb_3,0.021478000471543083
Pb_4,0.034895364536372285
Pb_5,0.047727503703251226
Pb_6,0.0656353534777309
