,ypjA
Cr_1,-0.008154378108440797
Cr_2,-0.008917656987781046
Cr_3,-0.018972721575192367
Cr_4,-0.01645922038774576
Cr_5,0.00312777956867889
Cr_6,0.010258596914497509
Fe_1,-0.05641320570464688
Fe_2,-0.1216852744398828
Fe_3,-0.18486564928127716
Fe_4,-0.2349800958724331
Fe_5,-0.26302294518800634
Fe_6,-0.2830213107139906
Cd_1,-0.0005293332916525583
Cd_2,0.010865883688024587
Cd_3,0.017527836117527125
Cd_4,0.010951087212681091
Cd_5,0.013899170267056695
Cd_6,0.018595787891057283
Zn_1,-0.001580282874312582
Zn_2,-0.022760034869564204
Zn_3,-0.04187841195874863
Zn_4,-0.034802691904203716
Zn_5,-0.03190589160252958
Zn_6,-0.01413945609796339
Cu_1,0.010109610803329463
Cu_2,0.02253655136029339
Cu_3,0.029950862906588573
Cu_4,0.032424413872945576
Cu_5,0.03499115070115187
Cu_6,0.03762043696989208
Pb_1,0.01341118972235153
Pb_2,0.018239549371911263
Pb_3,0.01900538878101564
Pb_4,0.03375150556886318
Pb_5,0.05228900736063339
Pb_6,0.06342693984995325
