,A,LysM
R2,,0.01566560380217763
xmin,,-2.282085873136377
xmid,,
xmax,,0.6510410061731502
ystart,,3.8738748697897636
yend,,1.411369382181677
Chrom:sac_log:1,0.1538981605801357,0.6510410061731502
Chrom:sac_log:2,-1.3807460826153408,0.1003795272068384
Chrom:sac_sta:1,0.6362237901936397,0.047099531883070256
Chrom:sac_sta:2,6.84754423527799,-0.15350096074600295
Chrom:sac_MW001:1,1.6941430518123384,0.10276678630341962
Chrom:sac_MW001:2,-1.6941430518123344,-0.10276678630341783
Chrom:sac_fadR:1,1.498017651760532,0.1485809061114889
Chrom:sac_fadR:2,-0.14269018739783376,0.07654858260896802
FadR:wt_p:1,-1.096257860872233,-0.26268434377778505
FadR:wt_p:2,1.0962578608722326,0.26268434377778505
FadR:ko_p:1,-0.25189899665225,-0.3356801735815722
FadR:ko_p:2,0.19160152552524395,0.6127194499898287
GDGT:75_2.4_log:1,0.4955074173222894,-0.12633326463241978
GDGT:80_3.5_stat:1,6.885119304867736,-0.24444342473315486
GDGT:80_2.4_log:1,-0.3512031209996542,-0.19818497650735975
GDGT:75_3.5_stat:1,6.83793543322644,-0.19553348383653105
GDGT:80_1.6_stat:1,1.6846365935182237,-0.7285329638637181
GDGT:80_1.6_stat:2,3.455778601653667,-0.7132812380695883
GDGT:75_2.4_stat:1,6.480031242134273,-0.2950457372924342
GDGT:80_2.4_stat:1,7.086688605640342,-0.26487666440006663
GDGT:80_3.5_stat:2,6.977400862280153,-0.35742637400300303
GDGT:80_1.6_log:1,-0.10954180066891678,-0.014170483787676604
GDGT:65_3.5_stat:1,5.796704902103991,0.373319468725553
GDGT:65_3.5_stat:2,5.236761355079696,0.0011484173686238108
GDGT:75_3.5_stat:2,6.866591126237669,-0.2226762258552366
GDGT:75_1.6_stat:1,6.375856476974673,-0.2752827004793801
GDGT:75_2.4_stat:2,7.215577907347216,-0.07279136636829264
GDGT:75_2.4_log:2,-1.2859376961059583,-0.2740364707006524
GDGT:75_3.5_stat:3,7.358405299437034,0.14786556429154452
