locus,gene_weight,gene_name,gene_product,operon,regulator,link
ybaA,0.562698341012001,ybaA,Function unknown,ybaA,[],
zntA,0.4056803533434868,zntA,"Confers resistance to zinc, cadmium and lead",zntA,"['rpoD', 'zntR']",
yjeI,0.40434083759784706,yjeI,Function unknown,yjeI,[],
